customer_id,churn_probability_90d
CUST000001,0.0251
CUST000002,0.0452
CUST000003,0.037
CUST000004,0.045
CUST000005,0.0427
CUST000006,0.0487
CUST000007,0.0922
CUST000008,0.0496
CUST000009,0.0335
CUST000010,0.0924
CUST000011,0.0386
CUST000012,0.0427
CUST000013,0.994
CUST000014,0.9942
CUST000015,0.0495
CUST000016,0.036
CUST000017,0.0223
CUST000018,0.0271
CUST000019,0.0517
CUST000020,0.0418
CUST000021,0.9942
CUST000022,0.049
CUST000023,0.9955
CUST000024,0.9951
CUST000025,0.0609
CUST000026,0.0822
CUST000027,0.0354
CUST000028,0.0418
CUST000029,0.0337
CUST000030,0.0773
CUST000031,0.0612
CUST000032,0.0333
CUST000033,0.9943
CUST000034,0.0216
CUST000035,0.9964
CUST000036,0.0407
CUST000037,0.0848
CUST000038,0.0971
CUST000039,0.0945
CUST000040,0.0337
CUST000041,0.0658
CUST000042,0.9948
CUST000043,0.9951
CUST000044,0.0385
CUST000045,0.9916
CUST000046,0.0287
CUST000047,0.0799
CUST000048,0.0329
CUST000049,0.0807
CUST000050,0.0671
CUST000051,0.1959
CUST000052,0.0724
CUST000053,0.0554
CUST000054,0.0311
CUST000055,0.0378
CUST000056,0.9945
CUST000057,0.0349
CUST000058,0.0486
CUST000059,0.047
CUST000060,0.1159
CUST000061,0.0728
CUST000062,0.0416
CUST000063,0.0343
CUST000064,0.9932
CUST000065,0.0388
CUST000066,0.0243
CUST000067,0.0356
CUST000068,0.0805
CUST000069,0.0368
CUST000070,0.1298
CUST000071,0.0371
CUST000072,0.0459
CUST000073,0.0503
CUST000074,0.0492
CUST000075,0.057
CUST000076,0.0584
CUST000077,0.9934
CUST000078,0.994
CUST000079,0.0517
CUST000080,0.0344
CUST000081,0.0769
CUST000082,0.0788
CUST000083,0.0476
CUST000084,0.1003
CUST000085,0.1308
CUST000086,0.0211
CUST000087,0.111
CUST000088,0.0903
CUST000089,0.0484
CUST000090,0.0937
CUST000091,0.0311
CUST000092,0.041
CUST000093,0.0602
CUST000094,0.0539
CUST000095,0.1077
CUST000096,0.0352
CUST000097,0.0177
CUST000098,0.0343
CUST000099,0.0475
CUST000100,0.0357
CUST000101,0.0288
CUST000102,0.027
CUST000103,0.1223
CUST000104,0.0426
CUST000105,0.0471
CUST000106,0.0249
CUST000107,0.0735
CUST000108,0.1362
CUST000109,0.0558
CUST000110,0.0295
CUST000111,0.9969
CUST000112,0.0366
CUST000113,0.1064
CUST000114,0.9966
CUST000115,0.0281
CUST000116,0.1831
CUST000117,0.044
CUST000118,0.0878
CUST000119,0.0498
CUST000120,0.9953
CUST000121,0.0623
CUST000122,0.0556
CUST000123,0.9974
CUST000124,0.0529
CUST000125,0.041
CUST000126,0.0269
CUST000127,0.0385
CUST000128,0.0585
CUST000129,0.164
CUST000130,0.1287
CUST000131,0.0571
CUST000132,0.9952
CUST000133,0.03
CUST000134,0.0426
CUST000135,0.0496
CUST000136,0.0629
CUST000137,0.0706
CUST000138,0.0665
CUST000139,0.0233
CUST000140,0.0488
CUST000141,0.0512
CUST000142,0.0411
CUST000143,0.0651
CUST000144,0.0347
CUST000145,0.0652
CUST000146,0.9968
CUST000147,0.0544
CUST000148,0.0325
CUST000149,0.0424
CUST000150,0.0318
CUST000151,0.1504
CUST000152,0.0269
CUST000153,0.9956
CUST000154,0.0522
CUST000155,0.997
CUST000156,0.0428
CUST000157,0.0572
CUST000158,0.0361
CUST000159,0.9954
CUST000160,0.1786
CUST000161,0.0444
CUST000162,0.0566
CUST000163,0.0409
CUST000164,0.0416
CUST000165,0.062
CUST000166,0.0296
CUST000167,0.0472
CUST000168,0.0468
CUST000169,0.997
CUST000170,0.0836
CUST000171,0.0301
CUST000172,0.052
CUST000173,0.9979
CUST000174,0.0464
CUST000175,0.0342
CUST000176,0.0461
CUST000177,0.0453
CUST000178,0.9943
CUST000179,0.034
CUST000180,0.0258
CUST000181,0.0275
CUST000182,0.0582
CUST000183,0.0492
CUST000184,0.0867
CUST000185,0.0308
CUST000186,0.0305
CUST000187,0.0348
CUST000188,0.9965
CUST000189,0.0301
CUST000190,0.0357
CUST000191,0.1671
CUST000192,0.0561
CUST000193,0.9937
CUST000194,0.996
CUST000195,0.0425
CUST000196,0.0944
CUST000197,0.0446
CUST000198,0.0288
CUST000199,0.0348
CUST000200,0.0738
CUST000201,0.0617
CUST000202,0.2022
CUST000203,0.0673
CUST000204,0.0262
CUST000205,0.1603
CUST000206,0.06
CUST000207,0.0521
CUST000208,0.037
CUST000209,0.0512
CUST000210,0.0396
CUST000211,0.9952
CUST000212,0.0482
CUST000213,0.0355
CUST000214,0.0316
CUST000215,0.0503
CUST000216,0.05
CUST000217,0.0395
CUST000218,0.0341
CUST000219,0.0546
CUST000220,0.9948
CUST000221,0.0587
CUST000222,0.0679
CUST000223,0.0364
CUST000224,0.0447
CUST000225,0.0744
CUST000226,0.0489
CUST000227,0.0695
CUST000228,0.9973
CUST000229,0.0462
CUST000230,0.9931
CUST000231,0.0482
CUST000232,0.0672
CUST000233,0.0503
CUST000234,0.0293
CUST000235,0.0279
CUST000236,0.9942
CUST000237,0.0499
CUST000238,0.0727
CUST000239,0.0596
CUST000240,0.0188
CUST000241,0.0322
CUST000242,0.044
CUST000243,0.9924
CUST000244,0.0344
CUST000245,0.084
CUST000246,0.0356
CUST000247,0.0626
CUST000248,0.0417
CUST000249,0.0333
CUST000250,0.0388
CUST000251,0.0303
CUST000252,0.023
CUST000253,0.0415
CUST000254,0.0456
CUST000255,0.1423
CUST000256,0.0407
CUST000257,0.0612
CUST000258,0.0376
CUST000259,0.0344
CUST000260,0.0529
CUST000261,0.0472
CUST000262,0.0403
CUST000263,0.0379
CUST000264,0.0198
CUST000265,0.0593
CUST000266,0.2407
CUST000267,0.0378
CUST000268,0.0555
CUST000269,0.0547
CUST000270,0.0568
CUST000271,0.0659
CUST000272,0.0441
CUST000273,0.0549
CUST000274,0.0578
CUST000275,0.0408
CUST000276,0.0474
CUST000277,0.0445
CUST000278,0.0236
CUST000279,0.0766
CUST000280,0.1168
CUST000281,0.0261
CUST000282,0.0398
CUST000283,0.0209
CUST000284,0.1001
CUST000285,0.0314
CUST000286,0.0425
CUST000287,0.058
CUST000288,0.0548
CUST000289,0.0235
CUST000290,0.0574
CUST000291,0.9944
CUST000292,0.0527
CUST000293,0.9929
CUST000294,0.0866
CUST000295,0.0274
CUST000296,0.0403
CUST000297,0.0863
CUST000298,0.0425
CUST000299,0.0308
CUST000300,0.0663
CUST000301,0.1163
CUST000302,0.0218
CUST000303,0.0326
CUST000304,0.0416
CUST000305,0.0489
CUST000306,0.0531
CUST000307,0.0489
CUST000308,0.0341
CUST000309,0.039
CUST000310,0.0372
CUST000311,0.0486
CUST000312,0.0243
CUST000313,0.0232
CUST000314,0.0303
CUST000315,0.9948
CUST000316,0.9965
CUST000317,0.0256
CUST000318,0.0237
CUST000319,0.0529
CUST000320,0.0568
CUST000321,0.039
CUST000322,0.0282
CUST000323,0.0531
CUST000324,0.0359
CUST000325,0.0734
CUST000326,0.0796
CUST000327,0.0504
CUST000328,0.0709
CUST000329,0.0656
CUST000330,0.9965
CUST000331,0.0365
CUST000332,0.9956
CUST000333,0.0426
CUST000334,0.0519
CUST000335,0.0455
CUST000336,0.063
CUST000337,0.0683
CUST000338,0.0297
CUST000339,0.0379
CUST000340,0.0418
CUST000341,0.0171
CUST000342,0.0831
CUST000343,0.0498
CUST000344,0.0508
CUST000345,0.0672
CUST000346,0.0396
CUST000347,0.0446
CUST000348,0.0426
CUST000349,0.0248
CUST000350,0.1275
CUST000351,0.113
CUST000352,0.1085
CUST000353,0.037
CUST000354,0.073
CUST000355,0.9944
CUST000356,0.0954
CUST000357,0.9959
CUST000358,0.9966
CUST000359,0.0474
CUST000360,0.0207
CUST000361,0.0295
CUST000362,0.0768
CUST000363,0.0393
CUST000364,0.0676
CUST000365,0.1062
CUST000366,0.0272
CUST000367,0.0432
CUST000368,0.0259
CUST000369,0.0389
CUST000370,0.3171
CUST000371,0.1504
CUST000372,0.0484
CUST000373,0.9967
CUST000374,0.0389
CUST000375,0.0465
CUST000376,0.0358
CUST000377,0.994
CUST000378,0.9953
CUST000379,0.0247
CUST000380,0.041
CUST000381,0.0559
CUST000382,0.9943
CUST000383,0.0337
CUST000384,0.0932
CUST000385,0.0332
CUST000386,0.0294
CUST000387,0.074
CUST000388,0.0359
CUST000389,0.0446
CUST000390,0.075
CUST000391,0.0447
CUST000392,0.0878
CUST000393,0.0628
CUST000394,0.034
CUST000395,0.0429
CUST000396,0.054
CUST000397,0.0306
CUST000398,0.9957
CUST000399,0.0204
CUST000400,0.1016
CUST000401,0.0172
CUST000402,0.0318
CUST000403,0.0299
CUST000404,0.0333
CUST000405,0.1936
CUST000406,0.0485
CUST000407,0.9937
CUST000408,0.0336
CUST000409,0.0151
CUST000410,0.0465
CUST000411,0.2055
CUST000412,0.1819
CUST000413,0.0136
CUST000414,0.0259
CUST000415,0.9959
CUST000416,0.1261
CUST000417,0.0448
CUST000418,0.0385
CUST000419,0.0316
CUST000420,0.9925
CUST000421,0.0541
CUST000422,0.0564
CUST000423,0.0788
CUST000424,0.0638
CUST000425,0.0656
CUST000426,0.0271
CUST000427,0.0371
CUST000428,0.0566
CUST000429,0.0281
CUST000430,0.11
CUST000431,0.0403
CUST000432,0.0459
CUST000433,0.0237
CUST000434,0.9944
CUST000435,0.0865
CUST000436,0.0822
CUST000437,0.0982
CUST000438,0.0887
CUST000439,0.0607
CUST000440,0.0562
CUST000441,0.0528
CUST000442,0.0817
CUST000443,0.024
CUST000444,0.043
CUST000445,0.0888
CUST000446,0.0907
CUST000447,0.0279
CUST000448,0.0345
CUST000449,0.0239
CUST000450,0.1415
CUST000451,0.0657
CUST000452,0.0338
CUST000453,0.0589
CUST000454,0.0585
CUST000455,0.9937
CUST000456,0.0169
CUST000457,0.0379
CUST000458,0.0257
CUST000459,0.0437
CUST000460,0.0483
CUST000461,0.0558
CUST000462,0.0876
CUST000463,0.0289
CUST000464,0.0358
CUST000465,0.0334
CUST000466,0.0449
CUST000467,0.0251
CUST000468,0.9945
CUST000469,0.0487
CUST000470,0.0499
CUST000471,0.0385
CUST000472,0.0326
CUST000473,0.0576
CUST000474,0.0193
CUST000475,0.0439
CUST000476,0.0699
CUST000477,0.0165
CUST000478,0.9945
CUST000479,0.0358
CUST000480,0.1139
CUST000481,0.0477
CUST000482,0.1
CUST000483,0.0524
CUST000484,0.0312
CUST000485,0.0956
CUST000486,0.012
CUST000487,0.0684
CUST000488,0.08
CUST000489,0.0476
CUST000490,0.0383
CUST000491,0.9946
CUST000492,0.9941
CUST000493,0.0672
CUST000494,0.0341
CUST000495,0.9894
CUST000496,0.0953
CUST000497,0.124
CUST000498,0.1243
CUST000499,0.8745
CUST000500,0.0315
CUST000501,0.0241
CUST000502,0.997
CUST000503,0.0343
CUST000504,0.1461
CUST000505,0.018
CUST000506,0.028
CUST000507,0.0198
CUST000508,0.0594
CUST000509,0.0538
CUST000510,0.0699
CUST000511,0.042
CUST000512,0.9891
CUST000513,0.0292
CUST000514,0.1297
CUST000515,0.9946
CUST000516,0.1195
CUST000517,0.0483
CUST000518,0.0366
CUST000519,0.0542
CUST000520,0.0487
CUST000521,0.0596
CUST000522,0.0409
CUST000523,0.0318
CUST000524,0.0545
CUST000525,0.0662
CUST000526,0.0403
CUST000527,0.0954
CUST000528,0.1176
CUST000529,0.0353
CUST000530,0.0606
CUST000531,0.0291
CUST000532,0.0505
CUST000533,0.1412
CUST000534,0.071
CUST000535,0.0538
CUST000536,0.0469
CUST000537,0.0442
CUST000538,0.0465
CUST000539,0.0415
CUST000540,0.0298
CUST000541,0.0431
CUST000542,0.0193
CUST000543,0.0459
CUST000544,0.3273
CUST000545,0.1344
CUST000546,0.0379
CUST000547,0.0585
CUST000548,0.0174
CUST000549,0.0406
CUST000550,0.0364
CUST000551,0.0658
CUST000552,0.1642
CUST000553,0.0597
CUST000554,0.1484
CUST000555,0.9941
CUST000556,0.0458
CUST000557,0.0265
CUST000558,0.1676
CUST000559,0.0446
CUST000560,0.0494
CUST000561,0.037
CUST000562,0.9891
CUST000563,0.0292
CUST000564,0.9861
CUST000565,0.0347
CUST000566,0.0734
CUST000567,0.053
CUST000568,0.117
CUST000569,0.1427
CUST000570,0.0591
CUST000571,0.0646
CUST000572,0.9924
CUST000573,0.0229
CUST000574,0.045
CUST000575,0.0768
CUST000576,0.0629
CUST000577,0.0306
CUST000578,0.0578
CUST000579,0.0328
CUST000580,0.0442
CUST000581,0.0685
CUST000582,0.1755
CUST000583,0.0366
CUST000584,0.0356
CUST000585,0.9947
CUST000586,0.0684
CUST000587,0.0575
CUST000588,0.0322
CUST000589,0.0794
CUST000590,0.0378
CUST000591,0.0566
CUST000592,0.9949
CUST000593,0.0404
CUST000594,0.0892
CUST000595,0.0437
CUST000596,0.0375
CUST000597,0.0354
CUST000598,0.0211
CUST000599,0.1297
CUST000600,0.0901
CUST000601,0.0315
CUST000602,0.0345
CUST000603,0.0367
CUST000604,0.9954
CUST000605,0.1314
CUST000606,0.157
CUST000607,0.026
CUST000608,0.0606
CUST000609,0.0427
CUST000610,0.0851
CUST000611,0.0166
CUST000612,0.024
CUST000613,0.9955
CUST000614,0.0591
CUST000615,0.0679
CUST000616,0.0329
CUST000617,0.2355
CUST000618,0.0289
CUST000619,0.9941
CUST000620,0.0513
CUST000621,0.0398
CUST000622,0.0416
CUST000623,0.0292
CUST000624,0.0278
CUST000625,0.0361
CUST000626,0.0441
CUST000627,0.0381
CUST000628,0.0765
CUST000629,0.0441
CUST000630,0.0614
CUST000631,0.9952
CUST000632,0.0116
CUST000633,0.0679
CUST000634,0.9956
CUST000635,0.1116
CUST000636,0.0342
CUST000637,0.0288
CUST000638,0.071
CUST000639,0.0922
CUST000640,0.0499
CUST000641,0.0373
CUST000642,0.0438
CUST000643,0.0345
CUST000644,0.0675
CUST000645,0.0412
CUST000646,0.2825
CUST000647,0.0313
CUST000648,0.0376
CUST000649,0.0455
CUST000650,0.0755
CUST000651,0.0253
CUST000652,0.0342
CUST000653,0.0492
CUST000654,0.0619
CUST000655,0.0495
CUST000656,0.0371
CUST000657,0.0647
CUST000658,0.0287
CUST000659,0.0277
CUST000660,0.0818
CUST000661,0.0264
CUST000662,0.023
CUST000663,0.0814
CUST000664,0.0424
CUST000665,0.996
CUST000666,0.0805
CUST000667,0.0276
CUST000668,0.0524
CUST000669,0.0498
CUST000670,0.0656
CUST000671,0.995
CUST000672,0.1679
CUST000673,0.0613
CUST000674,0.0342
CUST000675,0.024
CUST000676,0.0325
CUST000677,0.029
CUST000678,0.0315
CUST000679,0.0568
CUST000680,0.0192
CUST000681,0.0712
CUST000682,0.039
CUST000683,0.0483
CUST000684,0.0226
CUST000685,0.0365
CUST000686,0.0692
CUST000687,0.0991
CUST000688,0.166
CUST000689,0.0294
CUST000690,0.0652
CUST000691,0.0983
CUST000692,0.9977
CUST000693,0.0283
CUST000694,0.0702
CUST000695,0.0807
CUST000696,0.0166
CUST000697,0.0314
CUST000698,0.0316
CUST000699,0.0614
CUST000700,0.147
CUST000701,0.0421
CUST000702,0.0395
CUST000703,0.0694
CUST000704,0.0617
CUST000705,0.0371
CUST000706,0.0412
CUST000707,0.3702
CUST000708,0.0607
CUST000709,0.3918
CUST000710,0.0486
CUST000711,0.0326
CUST000712,0.0722
CUST000713,0.0456
CUST000714,0.0906
CUST000715,0.0553
CUST000716,0.0554
CUST000717,0.0431
CUST000718,0.0388
CUST000719,0.9959
CUST000720,0.0529
CUST000721,0.0918
CUST000722,0.9966
