month,deposits,loans,revenue,net_interest_income,fee_income,operating_costs,credit_loss,profit,customer_base
2025-01,23614271.71,79938275.64,788794.9,711601.85,6876.69,596226.54,76529.23,99212.6,16623.0
2025-02,24127518.31,80797826.99,801272.66,723067.61,6793.74,596933.43,77403.43,103428.54,16442.0
2025-03,24439182.4,81657378.34,813750.42,734533.37,6710.78,597640.32,78277.63,107644.49,16261.0
2025-04,24369563.63,82516929.69,826228.18,745999.13,6627.83,598347.21,79151.83,111860.43,16080.0
2025-05,24008775.52,83376481.04,838705.94,757464.89,6544.88,599054.1,80026.04,116076.37,15899.0
2025-06,23427572.38,84236032.4,851183.7,768930.65,6461.93,599760.99,80900.24,120292.32,15718.0
2025-07,22811230.25,85095583.75,863661.46,780396.41,6378.98,600467.88,81774.44,124508.26,15537.0
2025-08,22366029.07,85955135.1,876139.22,791862.17,6296.02,601174.76,82648.64,128724.2,15356.0
2025-09,22227804.41,86814686.45,888616.98,803327.93,6213.07,601881.65,83522.84,132940.14,15175.0
2025-10,22475517.43,87674237.8,901094.74,814793.69,6130.12,602588.54,84397.04,137156.09,14994.0
2025-11,23125925.03,88533789.15,913572.5,826259.45,6047.17,603295.43,85271.24,141372.03,14813.0
2025-12,23964699.01,89393340.5,926050.26,837725.21,5964.22,604002.32,86145.44,145587.97,14632.0
