customer_id,recommended_product,propensity_score,expected_annual_revenue
CUST000067,Personal Loan,0.7162,3.33
CUST000097,Personal Loan,0.7157,3.33
CUST000110,Credit Card,0.7485,5.87
CUST000129,Auto Loan,0.7319,2.23
CUST000149,Credit Card,0.7454,5.87
CUST000169,Personal Loan,0.7031,3.33
CUST000212,Investment Account,0.7316,2.95
CUST000247,Credit Card,0.7257,5.87
CUST000268,Investment Account,0.7507,2.95
CUST000269,Bancassurance,0.7392,31.03
CUST000271,Auto Loan,0.7351,2.23
CUST000343,Personal Loan,0.7187,3.33
CUST000350,Auto Loan,0.7174,2.23
CUST000389,Credit Card,0.7269,5.87
CUST000435,Credit Card,0.7255,5.87
CUST000473,Investment Account,0.7373,2.95
CUST000504,Credit Card,0.7432,5.87
CUST000570,Auto Loan,0.7144,2.23
CUST000577,Credit Card,0.7547,5.87
CUST000618,Bancassurance,0.7441,31.03
CUST000630,Investment Account,0.7389,2.95
CUST000646,Personal Loan,0.7122,3.33
CUST000708,Credit Card,0.7315,5.87
CUST000742,Bancassurance,0.754,31.03
CUST000748,Term Deposit,0.7023,0.0
CUST000775,Auto Loan,0.7437,2.23
CUST000776,Credit Card,0.7331,5.87
CUST000788,Auto Loan,0.7411,2.23
CUST000833,Auto Loan,0.7483,2.23
CUST000850,Credit Card,0.7262,5.87
CUST000897,Auto Loan,0.7361,2.23
CUST000908,Investment Account,0.728,2.95
CUST000947,Auto Loan,0.7544,2.23
CUST000970,Bancassurance,0.7295,31.03
CUST001021,Auto Loan,0.715,2.23
CUST001034,Investment Account,0.7273,2.95
CUST001040,Credit Card,0.7426,5.87
CUST001104,Investment Account,0.7312,2.95
CUST001114,Bancassurance,0.7331,31.03
CUST001147,Investment Account,0.7379,2.95
CUST001187,Credit Card,0.7251,5.87
CUST001188,Term Deposit,0.7172,0.0
CUST001199,Auto Loan,0.7469,2.23
CUST001203,Auto Loan,0.7239,2.23
CUST001208,Investment Account,0.7425,2.95
CUST001278,Term Deposit,0.703,0.0
