account_id,customer_id,product_id,account_type,open_date,status
ACC0000001,CUST000001,PRD01,Checking Account,2017-06-26,Open
ACC0000002,CUST000002,PRD01,Checking Account,2019-02-08,Open
ACC0000003,CUST000002,PRD02,Savings Account,2023-03-10,Open
ACC0000004,CUST000003,PRD01,Checking Account,2023-07-29,Open
ACC0000005,CUST000003,PRD09,Term Deposit,2024-09-03,Open
ACC0000006,CUST000003,PRD02,Savings Account,2024-12-13,Open
ACC0000007,CUST000004,PRD01,Checking Account,2020-06-14,Open
ACC0000008,CUST000005,PRD01,Checking Account,2019-09-02,Open
ACC0000009,CUST000006,PRD01,Checking Account,2021-12-03,Open
ACC0000010,CUST000007,PRD01,Checking Account,2020-03-26,Open
ACC0000011,CUST000008,PRD01,Checking Account,2022-01-26,Open
ACC0000012,CUST000009,PRD01,Checking Account,2018-04-28,Open
ACC0000013,CUST000010,PRD01,Checking Account,2020-07-30,Open
ACC0000014,CUST000011,PRD01,Checking Account,2024-01-23,Open
ACC0000015,CUST000012,PRD01,Checking Account,2024-04-05,Open
ACC0000016,CUST000012,PRD02,Savings Account,2024-01-02,Open
ACC0000017,CUST000013,PRD01,Checking Account,2024-08-25,Closed
ACC0000018,CUST000013,PRD02,Savings Account,2024-03-17,Closed
ACC0000019,CUST000014,PRD01,Checking Account,2024-12-22,Closed
ACC0000020,CUST000014,PRD02,Savings Account,2024-12-01,Closed
ACC0000021,CUST000015,PRD01,Checking Account,2024-10-29,Open
ACC0000022,CUST000016,PRD01,Checking Account,2021-02-11,Open
ACC0000023,CUST000016,PRD02,Savings Account,2021-02-17,Open
ACC0000024,CUST000017,PRD01,Checking Account,2024-08-20,Open
ACC0000025,CUST000017,PRD02,Savings Account,2024-12-24,Open
ACC0000026,CUST000018,PRD01,Checking Account,2024-04-23,Open
ACC0000027,CUST000018,PRD02,Savings Account,2023-10-23,Open
ACC0000028,CUST000019,PRD01,Checking Account,2021-11-16,Closed
ACC0000029,CUST000019,PRD02,Savings Account,2023-04-12,Closed
ACC0000030,CUST000020,PRD01,Checking Account,2021-05-01,Open
ACC0000031,CUST000021,PRD01,Checking Account,2019-12-13,Closed
ACC0000032,CUST000022,PRD01,Checking Account,2018-05-05,Open
ACC0000033,CUST000023,PRD01,Checking Account,2023-06-25,Closed
ACC0000034,CUST000023,PRD02,Savings Account,2024-06-25,Closed
ACC0000035,CUST000024,PRD01,Checking Account,2023-05-23,Closed
ACC0000036,CUST000024,PRD02,Savings Account,2023-02-26,Closed
ACC0000037,CUST000025,PRD01,Checking Account,2022-11-02,Open
ACC0000038,CUST000026,PRD01,Checking Account,2023-12-15,Open
ACC0000039,CUST000026,PRD09,Term Deposit,2024-10-06,Open
ACC0000040,CUST000026,PRD02,Savings Account,2024-04-01,Open
ACC0000041,CUST000027,PRD01,Checking Account,2023-04-13,Open
ACC0000042,CUST000027,PRD02,Savings Account,2022-09-25,Open
ACC0000043,CUST000028,PRD01,Checking Account,2023-08-04,Open
ACC0000044,CUST000028,PRD02,Savings Account,2024-09-15,Open
ACC0000045,CUST000029,PRD01,Checking Account,2024-09-24,Open
ACC0000046,CUST000029,PRD02,Savings Account,2024-09-20,Open
ACC0000047,CUST000030,PRD01,Checking Account,2020-10-08,Open
ACC0000048,CUST000031,PRD01,Checking Account,2024-11-04,Open
ACC0000049,CUST000031,PRD02,Savings Account,2022-12-28,Open
ACC0000050,CUST000032,PRD01,Checking Account,2023-08-09,Open
ACC0000051,CUST000032,PRD02,Savings Account,2023-11-05,Open
ACC0000052,CUST000033,PRD01,Checking Account,2021-04-01,Closed
ACC0000053,CUST000034,PRD01,Checking Account,2024-11-15,Open
ACC0000054,CUST000034,PRD09,Term Deposit,2024-08-06,Open
ACC0000055,CUST000035,PRD01,Checking Account,2023-02-21,Closed
ACC0000056,CUST000035,PRD02,Savings Account,2024-02-26,Closed
ACC0000057,CUST000036,PRD01,Checking Account,2023-12-30,Open
ACC0000058,CUST000037,PRD01,Checking Account,2023-03-31,Open
ACC0000059,CUST000038,PRD01,Checking Account,2023-08-19,Open
ACC0000060,CUST000039,PRD01,Checking Account,2023-10-19,Open
ACC0000061,CUST000040,PRD01,Checking Account,2019-10-05,Open
ACC0000062,CUST000040,PRD02,Savings Account,2018-10-02,Open
ACC0000063,CUST000041,PRD01,Checking Account,2024-10-22,Open
ACC0000064,CUST000041,PRD02,Savings Account,2018-12-09,Open
ACC0000065,CUST000042,PRD01,Checking Account,2022-11-23,Closed
ACC0000066,CUST000043,PRD01,Checking Account,2024-01-04,Closed
ACC0000067,CUST000043,PRD02,Savings Account,2023-10-06,Closed
ACC0000068,CUST000044,PRD01,Checking Account,2019-12-07,Open
ACC0000069,CUST000045,PRD09,Term Deposit,2018-08-14,Closed
ACC0000070,CUST000045,PRD01,Checking Account,2019-08-27,Closed
ACC0000071,CUST000045,PRD02,Savings Account,2019-07-20,Closed
ACC0000072,CUST000046,PRD01,Checking Account,2020-12-24,Open
ACC0000073,CUST000046,PRD02,Savings Account,2018-10-28,Open
ACC0000074,CUST000047,PRD01,Checking Account,2023-12-18,Open
ACC0000075,CUST000047,PRD02,Savings Account,2024-04-29,Open
ACC0000076,CUST000048,PRD01,Checking Account,2021-11-06,Open
ACC0000077,CUST000049,PRD01,Checking Account,2024-09-12,Open
ACC0000078,CUST000049,PRD02,Savings Account,2024-12-25,Open
ACC0000079,CUST000050,PRD01,Checking Account,2022-04-29,Open
ACC0000080,CUST000050,PRD02,Savings Account,2022-10-12,Open
ACC0000081,CUST000051,PRD01,Checking Account,2022-10-31,Open
ACC0000082,CUST000052,PRD01,Checking Account,2022-06-06,Open
ACC0000083,CUST000053,PRD01,Checking Account,2020-08-12,Open
ACC0000084,CUST000054,PRD01,Checking Account,2024-09-03,Open
ACC0000085,CUST000055,PRD01,Checking Account,2021-08-05,Open
ACC0000086,CUST000056,PRD01,Checking Account,2024-12-11,Closed
ACC0000087,CUST000057,PRD01,Checking Account,2024-10-31,Open
ACC0000088,CUST000057,PRD02,Savings Account,2023-09-23,Open
ACC0000089,CUST000058,PRD01,Checking Account,2023-05-08,Open
ACC0000090,CUST000058,PRD02,Savings Account,2024-05-11,Open
ACC0000091,CUST000059,PRD01,Checking Account,2021-01-23,Open
ACC0000092,CUST000059,PRD02,Savings Account,2024-03-15,Open
ACC0000093,CUST000060,PRD01,Checking Account,2024-10-14,Open
ACC0000094,CUST000061,PRD01,Checking Account,2022-11-04,Open
ACC0000095,CUST000061,PRD02,Savings Account,2024-08-10,Open
