response_id,campaign_id,customer_id,response_date,responded_flag,converted_flag,revenue_generated
RESP000001,CMP004,CUST000220,2023-03-05,True,False,0.0
RESP000002,CMP002,CUST000893,2023-07-23,True,False,0.0
RESP000003,CMP021,CUST009691,2023-10-20,True,False,0.0
RESP000004,CMP018,CUST001473,2023-05-04,True,False,0.0
RESP000005,CMP009,CUST014231,2023-05-22,True,False,0.0
RESP000006,CMP013,CUST004316,2023-11-11,True,False,0.0
RESP000007,CMP001,CUST009928,2024-06-18,True,False,0.0
RESP000008,CMP001,CUST004386,2024-03-22,True,False,0.0
RESP000009,CMP004,CUST015999,2024-08-07,True,True,51.08
RESP000010,CMP012,CUST004253,2023-09-30,True,False,0.0
RESP000011,CMP009,CUST010072,2023-03-21,True,False,0.0
RESP000012,CMP009,CUST014971,2024-07-17,True,False,0.0
RESP000013,CMP024,CUST015885,2023-12-17,True,False,0.0
RESP000014,CMP020,CUST019861,2024-05-18,True,False,0.0
RESP000015,CMP001,CUST002474,2023-03-03,True,True,103.01
RESP000016,CMP015,CUST004046,2024-05-15,True,False,0.0
RESP000017,CMP023,CUST004708,2024-11-17,True,False,0.0
RESP000018,CMP007,CUST002281,2023-01-24,True,False,0.0
RESP000019,CMP007,CUST014218,2024-01-31,True,False,0.0
RESP000020,CMP005,CUST005877,2023-02-23,True,False,0.0
RESP000021,CMP024,CUST005168,2024-12-11,True,False,0.0
RESP000022,CMP014,CUST012933,2023-09-09,True,False,0.0
RESP000023,CMP003,CUST015867,2023-10-19,True,False,0.0
RESP000024,CMP006,CUST000192,2023-05-16,True,False,0.0
RESP000025,CMP007,CUST006117,2024-11-05,True,False,0.0
RESP000026,CMP008,CUST003366,2024-11-25,True,False,0.0
RESP000027,CMP005,CUST015299,2023-01-30,True,False,0.0
RESP000028,CMP021,CUST005225,2023-09-20,True,False,0.0
RESP000029,CMP012,CUST004798,2023-04-08,True,False,0.0
RESP000030,CMP016,CUST019538,2024-10-01,True,True,50.29
RESP000031,CMP011,CUST006075,2024-07-17,True,False,0.0
RESP000032,CMP013,CUST009348,2024-04-18,True,False,0.0
RESP000033,CMP024,CUST018656,2023-02-07,True,False,0.0
RESP000034,CMP011,CUST004471,2024-08-03,True,False,0.0
RESP000035,CMP017,CUST019353,2024-09-02,True,False,0.0
RESP000036,CMP024,CUST009599,2024-05-27,True,False,0.0
RESP000037,CMP012,CUST005735,2024-11-06,True,False,0.0
RESP000038,CMP004,CUST008488,2023-05-08,True,False,0.0
RESP000039,CMP009,CUST018251,2023-03-02,True,False,0.0
RESP000040,CMP001,CUST017599,2023-11-03,True,False,0.0
RESP000041,CMP024,CUST010453,2023-01-10,True,True,273.77
RESP000042,CMP024,CUST017276,2023-05-30,True,True,128.92
RESP000043,CMP003,CUST008353,2023-09-07,True,False,0.0
RESP000044,CMP023,CUST008842,2023-10-25,True,False,0.0
RESP000045,CMP007,CUST006027,2024-08-11,True,False,0.0
RESP000046,CMP008,CUST018695,2024-05-05,True,False,0.0
RESP000047,CMP009,CUST008378,2024-11-18,True,False,0.0
RESP000048,CMP001,CUST013792,2024-04-11,True,False,0.0
RESP000049,CMP004,CUST003447,2023-11-06,True,False,0.0
RESP000050,CMP024,CUST019317,2023-06-04,True,False,0.0
