card_id,customer_id,product_id,card_type,issue_date,credit_limit,credit_utilization,monthly_spend,avg_transaction_value,is_active,digital_wallet_enabled,late_payment_flag
CARD000001,CUST000004,PRD03,Credit Card,2024-02-05,9800.0,0.122,176.63,41.11,False,True,False
CARD000002,CUST000004,PRD04,Debit Card,2024-11-25,0.0,,90.59,33.96,True,False,False
CARD000003,CUST000005,PRD03,Credit Card,2019-01-05,9780.0,0.275,349.18,61.66,True,True,False
CARD000004,CUST000006,PRD04,Debit Card,2023-04-20,0.0,,73.55,33.53,True,False,False
CARD000005,CUST000007,PRD03,Credit Card,2021-04-16,4270.0,0.39,82.3,73.47,True,False,False
CARD000006,CUST000010,PRD04,Debit Card,2024-11-12,0.0,,274.13,47.79,True,True,False
CARD000007,CUST000010,PRD03,Credit Card,2022-03-05,7380.0,0.419,105.01,17.36,True,False,True
CARD000008,CUST000013,PRD04,Debit Card,2022-06-27,0.0,,176.76,26.48,True,True,False
CARD000009,CUST000015,PRD03,Credit Card,2024-04-19,2170.0,0.181,273.61,62.52,True,False,False
CARD000010,CUST000016,PRD03,Credit Card,2024-09-11,9890.0,0.453,232.24,22.74,True,False,False
CARD000011,CUST000018,PRD03,Credit Card,2024-02-12,5180.0,0.468,293.83,78.28,True,False,False
CARD000012,CUST000021,PRD03,Credit Card,2022-07-28,6700.0,0.556,49.3,21.39,True,False,False
CARD000013,CUST000022,PRD04,Debit Card,2020-11-25,0.0,,52.33,68.85,True,False,False
CARD000014,CUST000023,PRD03,Credit Card,2024-09-19,11730.0,0.256,233.52,42.82,True,False,False
CARD000015,CUST000027,PRD04,Debit Card,2024-11-18,0.0,,89.66,13.98,True,True,False
CARD000016,CUST000029,PRD03,Credit Card,2023-04-25,7450.0,0.333,254.57,69.91,True,True,False
CARD000017,CUST000031,PRD03,Credit Card,2022-03-31,2360.0,0.629,73.11,32.95,True,False,False
CARD000018,CUST000031,PRD04,Debit Card,2023-11-16,0.0,,146.5,36.18,False,True,False
CARD000019,CUST000033,PRD03,Credit Card,2024-01-25,6730.0,0.32,289.24,26.14,True,True,False
CARD000020,CUST000036,PRD04,Debit Card,2024-06-12,0.0,,154.98,48.65,True,True,False
CARD000021,CUST000040,PRD03,Credit Card,2021-02-25,8950.0,0.434,366.22,36.69,True,True,False
CARD000022,CUST000041,PRD04,Debit Card,2021-05-09,0.0,,304.15,51.07,True,True,False
CARD000023,CUST000044,PRD03,Credit Card,2019-08-30,12300.0,0.408,68.8,27.79,True,False,False
CARD000024,CUST000045,PRD03,Credit Card,2020-11-30,2970.0,0.297,111.32,44.77,True,True,False
CARD000025,CUST000046,PRD04,Debit Card,2020-12-14,0.0,,134.44,16.26,True,False,False
CARD000026,CUST000046,PRD03,Credit Card,2023-09-04,14120.0,0.151,44.65,28.83,True,False,False
CARD000027,CUST000050,PRD04,Debit Card,2019-12-26,0.0,,307.79,31.93,True,False,False
CARD000028,CUST000052,PRD04,Debit Card,2024-11-10,0.0,,317.21,49.74,True,False,False
CARD000029,CUST000052,PRD03,Credit Card,2024-10-02,9120.0,0.308,84.89,56.47,True,True,False
CARD000030,CUST000054,PRD04,Debit Card,2024-09-01,0.0,,541.66,41.42,True,False,False
CARD000031,CUST000054,PRD03,Credit Card,2024-10-25,4890.0,0.215,87.72,77.99,True,False,False
CARD000032,CUST000058,PRD03,Credit Card,2024-10-19,11990.0,0.624,140.2,84.52,True,False,False
CARD000033,CUST000059,PRD03,Credit Card,2024-05-30,13320.0,0.428,73.59,78.54,True,False,False
CARD000034,CUST000060,PRD03,Credit Card,2024-08-13,5190.0,0.475,787.86,86.82,True,False,True
CARD000035,CUST000061,PRD04,Debit Card,2021-02-23,0.0,,86.62,67.32,True,False,False
CARD000036,CUST000062,PRD03,Credit Card,2024-12-16,8090.0,0.292,169.38,61.7,True,True,False
CARD000037,CUST000064,PRD04,Debit Card,2017-03-16,0.0,,192.08,47.44,True,True,False
CARD000038,CUST000064,PRD03,Credit Card,2023-06-17,1520.0,0.375,199.21,27.64,True,False,False
CARD000039,CUST000067,PRD04,Debit Card,2024-10-17,0.0,,32.82,20.52,True,False,False
CARD000040,CUST000069,PRD03,Credit Card,2020-02-20,2710.0,0.148,367.74,78.68,True,False,True
CARD000041,CUST000071,PRD03,Credit Card,2023-07-10,13210.0,0.566,95.23,17.96,True,True,True
CARD000042,CUST000071,PRD04,Debit Card,2024-06-16,0.0,,217.46,42.31,True,True,False
CARD000043,CUST000072,PRD04,Debit Card,2019-02-22,0.0,,41.96,57.87,True,False,False
CARD000044,CUST000073,PRD04,Debit Card,2020-02-11,0.0,,109.02,78.86,True,True,False
CARD000045,CUST000073,PRD03,Credit Card,2021-12-15,2050.0,0.288,442.55,37.58,True,False,False
CARD000046,CUST000074,PRD04,Debit Card,2023-03-30,0.0,,503.02,58.65,True,False,False
CARD000047,CUST000074,PRD03,Credit Card,2024-10-16,4410.0,0.75,191.62,24.53,False,False,False
CARD000048,CUST000075,PRD04,Debit Card,2024-11-06,0.0,,157.15,54.66,True,True,False
CARD000049,CUST000078,PRD03,Credit Card,2024-11-05,12920.0,0.123,189.77,26.11,True,True,False
CARD000050,CUST000078,PRD04,Debit Card,2024-10-28,0.0,,435.96,69.68,True,True,False
