credit_event_id,loan_id,customer_id,event_date,event_type,outstanding_at_event,risk_bucket
CE00001,LN000005,CUST000002,2024-06-18,Delinquency Notice - 30 Days,1616.25,Elevated
CE00002,LN000009,CUST000004,2024-06-15,Default / Write-off Review,2128.71,Critical
CE00003,LN000027,CUST000033,2024-09-27,Delinquency Notice - 60 Days,785.47,Low
CE00004,LN000034,CUST000043,2024-07-27,Delinquency Notice - 60 Days,24675.58,Moderate
CE00005,LN000048,CUST000059,2024-08-24,Default / Write-off Review,1265.13,Elevated
CE00006,LN000056,CUST000070,2024-12-14,Default / Write-off Review,1309.75,High
CE00007,LN000061,CUST000076,2024-11-15,Delinquency Notice - 30 Days,704.86,Moderate
CE00008,LN000064,CUST000078,2024-08-31,Delinquency Notice - 30 Days,1177.2,Elevated
CE00009,LN000073,CUST000090,2024-10-10,Delinquency Notice - 30 Days,1093.79,High
CE00010,LN000101,CUST000112,2024-06-27,Delinquency Notice - 60 Days,151.05,Low
CE00011,LN000124,CUST000136,2024-10-08,Delinquency Notice - 30 Days,719.24,High
CE00012,LN000134,CUST000150,2024-09-06,Delinquency Notice - 30 Days,6826.68,Elevated
CE00013,LN000141,CUST000157,2024-09-24,Default / Write-off Review,14835.73,Moderate
CE00014,LN000177,CUST000192,2024-09-25,Delinquency Notice - 60 Days,5489.43,Elevated
CE00015,LN000199,CUST000224,2024-10-13,Delinquency Notice - 30 Days,7448.85,Low
CE00016,LN000200,CUST000226,2024-07-26,Delinquency Notice - 60 Days,1774.46,Elevated
CE00017,LN000212,CUST000243,2024-06-10,Delinquency Notice - 30 Days,2540.39,Moderate
CE00018,LN000215,CUST000247,2024-09-19,Delinquency Notice - 60 Days,1192.33,Low
CE00019,LN000240,CUST000279,2024-08-23,Delinquency Notice - 30 Days,3689.99,Moderate
CE00020,LN000254,CUST000299,2024-06-21,Default / Write-off Review,2295.61,Elevated
CE00021,LN000280,CUST000336,2024-09-16,Delinquency Notice - 60 Days,5759.23,Low
CE00022,LN000281,CUST000337,2024-08-03,Delinquency Notice - 30 Days,1365.76,Elevated
CE00023,LN000282,CUST000337,2024-12-11,Default / Write-off Review,7260.24,Elevated
CE00024,LN000293,CUST000350,2024-09-17,Delinquency Notice - 60 Days,359.03,High
CE00025,LN000297,CUST000353,2024-06-23,Delinquency Notice - 30 Days,911.77,High
CE00026,LN000305,CUST000363,2024-06-10,Delinquency Notice - 30 Days,2169.74,Moderate
CE00027,LN000308,CUST000366,2024-08-28,Delinquency Notice - 60 Days,657.24,Low
CE00028,LN000310,CUST000369,2024-10-21,Delinquency Notice - 30 Days,8827.52,Elevated
CE00029,LN000321,CUST000384,2024-06-29,Delinquency Notice - 60 Days,4566.48,High
CE00030,LN000322,CUST000385,2024-12-03,Delinquency Notice - 60 Days,390.16,Moderate
CE00031,LN000326,CUST000389,2024-07-18,Default / Write-off Review,17748.9,Low
CE00032,LN000327,CUST000389,2024-08-19,Delinquency Notice - 30 Days,48742.97,Low
CE00033,LN000330,CUST000391,2024-08-26,Default / Write-off Review,3060.45,Low
CE00034,LN000331,CUST000392,2024-12-09,Delinquency Notice - 30 Days,2665.83,High
CE00035,LN000337,CUST000404,2024-07-02,Default / Write-off Review,3650.88,Low
CE00036,LN000347,CUST000424,2024-07-05,Delinquency Notice - 60 Days,764.27,Elevated
CE00037,LN000358,CUST000438,2024-09-19,Delinquency Notice - 30 Days,2718.82,Elevated
CE00038,LN000362,CUST000441,2024-06-15,Delinquency Notice - 30 Days,5042.75,High
CE00039,LN000367,CUST000447,2024-10-10,Delinquency Notice - 30 Days,2931.19,Low
CE00040,LN000381,CUST000466,2024-11-21,Default / Write-off Review,2261.0,High
CE00041,LN000387,CUST000476,2024-06-20,Delinquency Notice - 60 Days,719.38,High
