interaction_id,customer_id,interaction_date,interaction_type,channel,resolution_time_hours,satisfaction_score,repeat_contact_flag
INT000001,CUST009093,2023-04-03,Complaint,Chat,19.0,3.8,False
INT000002,CUST000409,2024-07-17,Branch Visit,Phone,18.0,3.3,False
INT000003,CUST003559,2023-08-25,Email Inquiry,Email,15.9,3.6,False
INT000004,CUST016340,2023-07-09,Complaint,Phone,13.3,4.2,False
INT000005,CUST000933,2023-04-11,Chat,Phone,14.0,4.6,False
INT000006,CUST001315,2023-06-28,Support Call,Branch,8.1,2.7,False
INT000007,CUST001360,2024-07-06,Complaint,Email,9.3,4.6,False
INT000008,CUST000063,2024-06-30,Chat,Email,5.4,2.8,False
INT000009,CUST018842,2024-04-09,Email Inquiry,Phone,12.7,4.4,False
INT000010,CUST005380,2024-05-23,Chat,Branch,5.9,4.0,True
INT000011,CUST012697,2024-06-12,Branch Visit,Branch,25.6,3.0,True
INT000012,CUST014230,2024-06-16,Branch Visit,Email,7.7,3.9,False
INT000013,CUST014512,2023-06-09,Support Call,Branch,1.9,3.3,False
INT000014,CUST001458,2024-12-24,Chat,Phone,11.3,1.5,False
INT000015,CUST005952,2023-04-15,Support Call,Mobile App,13.6,3.4,False
INT000016,CUST019266,2024-01-26,Branch Visit,Phone,38.4,3.9,False
INT000017,CUST016028,2023-07-03,Complaint,Mobile App,18.1,3.1,False
INT000018,CUST005990,2024-11-07,Branch Visit,Mobile App,13.2,3.3,False
INT000019,CUST004834,2023-07-22,Branch Visit,Mobile App,8.7,3.9,False
INT000020,CUST009275,2023-12-13,Branch Visit,Email,11.3,4.3,False
INT000021,CUST011110,2024-01-21,Support Call,Branch,13.3,3.1,False
INT000022,CUST017033,2023-11-04,Branch Visit,Branch,4.6,4.4,False
INT000023,CUST001398,2023-04-08,Email Inquiry,Mobile App,23.5,3.8,False
INT000024,CUST011016,2024-01-18,Support Call,Phone,6.0,1.9,False
INT000025,CUST001040,2023-10-26,Support Call,Chat,23.4,4.3,False
INT000026,CUST010417,2024-09-14,Branch Visit,Phone,2.7,3.2,False
INT000027,CUST005259,2023-02-23,Support Call,Branch,10.9,5.0,False
INT000028,CUST014720,2024-04-11,Complaint,Chat,4.1,3.5,False
INT000029,CUST019391,2023-10-26,Complaint,Phone,10.9,4.8,False
INT000030,CUST002670,2023-08-14,Email Inquiry,Branch,13.0,3.0,False
INT000031,CUST007491,2024-01-29,Complaint,Chat,7.5,3.2,False
INT000032,CUST005915,2023-07-18,Chat,Mobile App,22.4,3.5,True
INT000033,CUST017315,2024-01-11,Complaint,Chat,12.4,3.9,False
INT000034,CUST019975,2023-08-11,Support Call,Mobile App,2.9,2.4,False
INT000035,CUST001373,2024-05-07,Chat,Chat,1.5,3.5,False
INT000036,CUST002614,2024-01-21,Support Call,Branch,7.1,4.8,False
INT000037,CUST002547,2024-04-04,Complaint,Phone,16.8,3.9,False
INT000038,CUST003097,2024-09-06,Support Call,Chat,1.3,3.6,False
INT000039,CUST015728,2023-02-27,Complaint,Phone,6.5,4.7,False
INT000040,CUST009230,2023-08-07,Branch Visit,Branch,3.9,5.0,False
INT000041,CUST016230,2023-08-07,Support Call,Mobile App,10.1,4.1,False
INT000042,CUST018844,2024-02-18,Chat,Mobile App,34.6,3.8,False
INT000043,CUST019541,2024-10-23,Support Call,Mobile App,2.2,2.7,False
INT000044,CUST015507,2023-08-06,Support Call,Mobile App,5.4,3.8,False
INT000045,CUST016684,2024-09-21,Email Inquiry,Branch,3.9,4.9,False
INT000046,CUST017845,2023-05-19,Branch Visit,Chat,27.4,2.7,False
INT000047,CUST014829,2024-11-21,Branch Visit,Branch,2.8,4.1,True
INT000048,CUST011000,2023-05-24,Email Inquiry,Mobile App,24.8,3.7,True
INT000049,CUST019205,2024-01-20,Complaint,Mobile App,6.8,4.0,False
INT000050,CUST016873,2024-09-15,Chat,Phone,4.4,3.8,False
INT000051,CUST009774,2023-12-01,Complaint,Mobile App,6.0,3.7,False
INT000052,CUST012020,2023-01-07,Support Call,Chat,7.2,3.9,False
INT000053,CUST003284,2024-10-20,Branch Visit,Phone,2.4,4.0,False
INT000054,CUST005781,2023-02-16,Chat,Branch,5.3,2.9,False
INT000055,CUST005053,2023-04-11,Complaint,Chat,19.2,4.5,False
INT000056,CUST002263,2024-02-29,Complaint,Branch,6.2,3.9,False
INT000057,CUST015976,2024-05-24,Complaint,Chat,5.0,4.2,False
INT000058,CUST002762,2024-01-18,Chat,Branch,4.9,3.6,False
INT000059,CUST001104,2023-03-15,Chat,Chat,15.1,2.9,False
INT000060,CUST000870,2024-12-23,Support Call,Mobile App,29.9,3.3,False
INT000061,CUST019615,2023-06-10,Chat,Mobile App,8.2,4.6,False
INT000062,CUST019304,2024-01-05,Support Call,Phone,7.2,2.9,False
INT000063,CUST002589,2023-08-02,Email Inquiry,Mobile App,22.0,4.7,False
INT000064,CUST004042,2024-11-14,Branch Visit,Phone,2.5,5.0,False
INT000065,CUST003500,2023-03-12,Branch Visit,Email,13.6,2.8,False
INT000066,CUST001405,2024-09-14,Chat,Email,4.4,4.6,False
INT000067,CUST015074,2024-08-24,Complaint,Branch,9.0,4.5,False
INT000068,CUST011696,2023-08-06,Support Call,Phone,3.5,4.7,False
INT000069,CUST010048,2023-09-27,Complaint,Chat,12.2,3.3,False
INT000070,CUST009317,2024-05-03,Support Call,Chat,5.9,2.6,False
INT000071,CUST011281,2024-12-05,Email Inquiry,Branch,1.8,3.6,False
INT000072,CUST011607,2024-02-16,Complaint,Branch,11.3,4.2,True
INT000073,CUST003401,2024-12-20,Email Inquiry,Branch,6.6,3.8,False
INT000074,CUST002766,2023-01-08,Support Call,Chat,4.7,5.0,False
INT000075,CUST016602,2023-02-08,Support Call,Chat,22.6,3.2,False
INT000076,CUST001506,2024-02-03,Complaint,Branch,11.0,4.9,False
INT000077,CUST015277,2024-06-15,Branch Visit,Chat,22.6,3.8,False
INT000078,CUST007562,2023-11-21,Support Call,Chat,16.7,3.2,False
INT000079,CUST013790,2023-08-23,Chat,Branch,7.6,4.0,False
INT000080,CUST008748,2023-08-08,Support Call,Mobile App,19.7,2.7,False
INT000081,CUST017407,2023-10-02,Complaint,Mobile App,11.3,2.9,False
INT000082,CUST006953,2024-08-10,Complaint,Phone,5.9,5.0,True
INT000083,CUST019431,2024-02-07,Branch Visit,Phone,12.2,3.7,True
INT000084,CUST000990,2024-06-26,Complaint,Email,3.2,3.5,False
INT000085,CUST011149,2024-06-28,Chat,Email,5.0,2.9,False
INT000086,CUST018500,2024-03-19,Email Inquiry,Phone,10.2,3.9,False
INT000087,CUST019546,2023-11-26,Complaint,Branch,30.3,3.6,False
INT000088,CUST007854,2024-05-20,Chat,Mobile App,7.8,3.9,False
INT000089,CUST007994,2024-02-14,Branch Visit,Email,11.7,4.9,False
INT000090,CUST005815,2023-03-25,Chat,Email,23.4,3.3,False
INT000091,CUST004688,2023-01-12,Support Call,Branch,1.9,1.4,False
INT000092,CUST005808,2024-09-24,Complaint,Mobile App,17.6,5.0,False
INT000093,CUST008375,2023-07-15,Chat,Mobile App,5.4,3.1,False
INT000094,CUST017983,2023-11-05,Branch Visit,Chat,16.5,3.8,False
INT000095,CUST017220,2024-03-28,Complaint,Branch,30.0,3.2,True
INT000096,CUST013809,2023-03-07,Branch Visit,Phone,10.8,2.6,True
INT000097,CUST010892,2024-04-11,Branch Visit,Mobile App,7.9,3.4,False
INT000098,CUST005195,2024-07-18,Support Call,Mobile App,11.5,5.0,False
INT000099,CUST011979,2024-09-09,Chat,Mobile App,15.5,3.8,False
INT000100,CUST013202,2024-10-17,Email Inquiry,Chat,3.5,3.9,False
INT000101,CUST011807,2024-04-27,Chat,Email,4.1,4.8,False
INT000102,CUST005113,2024-08-05,Branch Visit,Chat,11.6,4.2,False
INT000103,CUST001126,2024-08-05,Support Call,Mobile App,13.5,4.3,True
INT000104,CUST007928,2024-05-30,Support Call,Branch,23.0,3.3,False
INT000105,CUST017831,2024-10-16,Chat,Chat,0.7,3.3,False
INT000106,CUST018798,2024-04-25,Branch Visit,Mobile App,9.2,4.5,False
INT000107,CUST007992,2023-10-15,Support Call,Email,17.9,1.0,False
INT000108,CUST006527,2023-02-27,Chat,Mobile App,9.1,3.0,False
INT000109,CUST015386,2024-08-23,Email Inquiry,Mobile App,11.1,3.5,False
INT000110,CUST007043,2023-06-23,Branch Visit,Chat,11.6,3.1,False
INT000111,CUST016350,2023-06-21,Support Call,Phone,8.1,4.5,False
INT000112,CUST008081,2024-09-03,Complaint,Chat,21.0,4.0,False
INT000113,CUST017353,2023-10-25,Support Call,Mobile App,24.4,3.5,False
INT000114,CUST003990,2023-07-13,Branch Visit,Mobile App,12.3,4.0,True
INT000115,CUST010456,2023-09-10,Support Call,Branch,7.3,3.3,True
INT000116,CUST014860,2024-09-22,Support Call,Mobile App,7.4,2.7,False
INT000117,CUST000374,2023-02-09,Complaint,Mobile App,17.1,2.7,False
INT000118,CUST000583,2024-04-13,Branch Visit,Email,7.2,5.0,False
INT000119,CUST019739,2023-11-22,Complaint,Chat,11.2,1.8,False
INT000120,CUST005695,2024-01-29,Email Inquiry,Email,13.1,3.1,False
INT000121,CUST007727,2024-03-04,Chat,Email,11.6,2.6,False
INT000122,CUST012785,2024-08-09,Support Call,Phone,11.0,3.7,False
INT000123,CUST010686,2023-05-12,Support Call,Branch,3.3,2.9,False
INT000124,CUST019852,2024-12-26,Complaint,Phone,11.7,5.0,False
INT000125,CUST017104,2023-04-18,Support Call,Phone,19.9,4.6,False
INT000126,CUST010139,2023-04-27,Chat,Mobile App,33.1,2.5,False
INT000127,CUST017537,2023-03-16,Branch Visit,Chat,8.5,4.2,True
INT000128,CUST017517,2023-04-03,Support Call,Mobile App,2.7,4.5,False
INT000129,CUST012023,2023-05-04,Chat,Email,9.7,3.2,False
INT000130,CUST018159,2024-06-08,Branch Visit,Branch,3.0,4.3,False
INT000131,CUST006846,2024-07-20,Complaint,Email,7.6,4.0,False
