customer_id,signup_date,birth_year,age,age_band,gender,region,city,branch_id,employment_status,occupation_group,income_band,annual_income,education_level,marital_status,customer_type,acquisition_channel,acquisition_campaign_flag,relationship_start_date,tenure_years,digital_adoption,mobile_banking_user,internet_banking_user,premium_customer_flag,salary_customer_flag,customer_status,churn_flag,risk_segment,recency_months,frequency_avg_monthly_txns,monetary_avg_balance,r_score,f_score,m_score,rfm_score,rfm_segment,customer_value_score,value_segment,lifecycle_segment,behavioral_segment,digital_segment,customer_lifetime_value,products_owned_count,multi_product_flag
CUST000001,2016-03-22,1987,39,36-45,Male,Region-10,Region-10-City-2,BR016,Employed,Other,<15K,5600.0,High School,Married,Individual,CH06,False,2016-03-22,8.78,High,True,True,False,True,Active,False,Low,0,0.79,667.29,3,3,3,333,Potential Loyalist,60.0,Affluent,Established,Digital First,High,75.91,6,True
CUST000002,2017-10-27,1975,51,46-55,Male,Region-07,Region-07-City-2,BR020,Retired,Clerical,<15K,2100.0,Bachelor,Widowed,Individual,CH03,True,2017-10-27,7.18,Medium,False,True,False,False,Dormant,False,Elevated,0,0.04,279.57,3,1,2,312,Potential Loyalist,40.0,Mass Affluent,Established,Low Engagement,Medium,-14.35,4,True
CUST000003,2023-02-13,1979,47,46-55,Male,Region-05,Region-05-City-1,BR011,Retired,Professional,<15K,6800.0,High School,Single,Individual,CH01,True,2023-02-13,1.88,Medium,True,False,False,False,Active,False,Moderate,0,0.21,1228.57,3,1,4,314,Potential Loyalist,53.3,Affluent,Growing,Low Engagement,Medium,115.69,4,True
CUST000004,2020-05-25,1968,58,56-65,Female,Region-05,Region-05-City-2,BR008,Unemployed,Manual Labor,<15K,1700.0,Bachelor,Married,Individual,CH04,True,2020-05-25,4.6,Medium,False,True,False,False,Active,False,Critical,0,1.83,363.31,3,5,2,352,Potential Loyalist,66.7,High Value,Loyal,Transaction Heavy,Medium,-104.54,5,True
CUST000005,2017-10-14,1996,30,26-35,Male,Region-04,Region-04-City-3,BR021,Retired,Public Sector,<15K,1200.0,Bachelor,Divorced,Small Business,CH07,False,2017-10-14,7.21,High,True,True,False,False,Active,False,Low,0,2.21,346.34,3,5,2,352,Potential Loyalist,66.7,High Value,Loyal,Digital First,High,45.54,5,True
CUST000006,2017-03-24,1984,42,36-45,Female,Region-04,Region-04-City-3,BR024,Student,Business Owner,<15K,1600.0,Master,Married,Individual,CH12,True,2017-03-24,7.77,Medium,False,True,False,False,Active,False,Moderate,0,0.12,351.38,3,1,2,312,Potential Loyalist,40.0,Mass Affluent,Established,Low Engagement,Medium,22.98,3,True
CUST000007,2019-06-01,2002,24,18-25,Female,Region-06,Region-06-City-3,BR011,Employed,Public Sector,<15K,1500.0,High School,Married,Individual,CH04,False,2019-06-01,5.59,High,True,True,False,False,Active,False,Moderate,0,1.58,330.86,3,4,2,342,Potential Loyalist,60.0,Affluent,Loyal,Digital First,High,37.11,2,True
CUST000008,2019-02-10,1992,34,26-35,Female,Region-03,Region-03-City-2,BR006,Retired,Other,<15K,2100.0,Diploma,Widowed,Individual,CH06,False,2019-02-10,5.89,High,True,True,False,False,Active,False,Low,0,0.33,577.96,3,1,3,313,Potential Loyalist,46.7,Affluent,Established,Digital First,High,49.61,1,False
CUST000009,2017-03-21,1970,56,56-65,Female,Region-11,Region-11-City-3,BR017,Retired,Clerical,<15K,2500.0,Bachelor,Single,Individual,CH08,False,2017-03-21,7.78,Low,False,False,False,False,Active,False,Moderate,0,1.29,676.67,3,4,3,343,Potential Loyalist,66.7,High Value,Loyal,Branch Dependent,Low,64.11,1,False
CUST000010,2019-05-09,1968,58,56-65,Female,Region-07,Region-07-City-1,BR016,Employed,Public Sector,<15K,13300.0,High School,Single,Individual,CH12,False,2019-05-09,5.65,High,True,True,False,True,Active,False,Moderate,0,0.38,3248.51,3,2,5,325,Potential Loyalist,66.7,High Value,Established,Digital First,High,303.54,4,True
CUST000011,2016-06-18,1954,72,66+,Male,Region-08,Region-08-City-1,BR009,Employed,Public Sector,<15K,10700.0,Master,Widowed,Individual,CH08,False,2016-06-18,8.54,Medium,True,False,False,True,Active,False,Moderate,0,0.62,2203.93,3,2,5,325,Potential Loyalist,66.7,High Value,Established,Deposit Heavy,Medium,215.03,1,False
CUST000012,2023-10-13,1984,42,36-45,Male,Region-07,Region-07-City-3,BR021,Employed,Clerical,<15K,5200.0,Bachelor,Married,Individual,CH04,False,2023-10-13,1.22,High,True,True,False,False,Active,False,Elevated,0,1.42,1272.02,3,4,4,344,Potential Loyalist,73.3,High Value,Growing,Digital First,High,61.22,2,True
CUST000013,2021-10-26,1991,35,26-35,Female,Region-11,Region-11-City-1,BR006,Unemployed,Business Owner,<15K,1200.0,Bachelor,Single,Individual,CH06,False,2021-10-26,3.18,Medium,False,True,False,False,Churned,True,High,14,0.12,42.51,1,1,1,111,Lost,20.0,Mass,Churned,Low Engagement,Medium,-66.26,3,True
CUST000014,2023-12-02,1969,57,56-65,Male,Region-10,Region-10-City-3,BR002,Self-Employed,Manager,<15K,3600.0,High School,Single,Individual,CH10,False,2023-12-02,1.08,High,True,True,False,False,Churned,True,Low,14,0.17,162.11,1,1,1,111,Lost,20.0,Mass,Churned,Digital First,High,20.28,2,True
CUST000015,2024-02-11,1951,75,66+,Female,Region-06,Region-06-City-3,BR006,Self-Employed,Manual Labor,<15K,13600.0,Bachelor,Single,Individual,CH07,True,2024-02-11,0.89,High,True,True,False,False,Active,False,High,0,1.38,2446.02,3,4,5,345,Potential Loyalist,80.0,High Value,Growing,Digital First,High,24.87,2,True
CUST000016,2020-09-17,1995,31,26-35,Male,Region-05,Region-05-City-2,BR019,Employed,Clerical,<15K,1900.0,Bachelor,Married,Small Business,CH05,False,2020-09-17,4.29,High,True,True,False,True,Active,False,Moderate,0,1.25,492.95,3,4,2,342,Potential Loyalist,60.0,Affluent,Loyal,Digital First,High,47.18,4,True
