deposit_id,customer_id,open_date,principal_amount,term_months,interest_rate,auto_renew,status
DEP000001,CUST000003,2024-09-03,15291.93,36,0.0517,False,Active
DEP000002,CUST000026,2024-10-06,42891.95,3,0.0349,False,Matured
DEP000003,CUST000034,2024-08-06,42503.74,24,0.0755,True,Matured
DEP000004,CUST000045,2018-08-14,31357.52,12,0.0502,False,Matured
DEP000005,CUST000067,2024-12-04,35189.23,6,0.0301,False,Matured
DEP000006,CUST000068,2021-10-12,33835.11,36,0.0581,True,Active
DEP000007,CUST000069,2022-10-11,14251.3,24,0.0591,False,Withdrawn Early
DEP000008,CUST000091,2019-01-05,26466.49,36,0.0518,False,Active
DEP000009,CUST000094,2024-08-06,4969.53,12,0.0639,False,Active
DEP000010,CUST000095,2022-08-19,28514.56,6,0.036,False,Active
DEP000011,CUST000100,2022-11-04,36588.11,12,0.0457,True,Matured
DEP000012,CUST000102,2023-08-28,27096.07,6,0.0419,False,Matured
DEP000013,CUST000103,2021-10-02,20220.03,6,0.0669,False,Active
DEP000014,CUST000110,2021-06-16,4550.75,12,0.0521,True,Active
DEP000015,CUST000114,2023-09-01,24646.73,3,0.0687,True,Matured
DEP000016,CUST000120,2022-03-08,15959.9,24,0.0551,True,Matured
DEP000017,CUST000128,2022-05-12,14052.1,6,0.0481,False,Active
DEP000018,CUST000129,2023-01-10,14325.09,36,0.0487,True,Withdrawn Early
DEP000019,CUST000135,2023-01-25,47226.24,12,0.0412,False,Matured
DEP000020,CUST000140,2022-07-19,28783.95,3,0.0411,True,Matured
DEP000021,CUST000143,2023-09-06,45943.59,12,0.0508,False,Active
DEP000022,CUST000149,2021-03-04,3060.17,24,0.0711,False,Withdrawn Early
DEP000023,CUST000151,2024-11-01,9731.26,6,0.0448,False,Matured
DEP000024,CUST000169,2021-07-20,49471.94,3,0.0677,True,Active
DEP000025,CUST000179,2020-08-02,13822.58,24,0.0378,False,Active
DEP000026,CUST000181,2021-03-09,37303.71,12,0.031,True,Active
DEP000027,CUST000188,2022-10-11,46115.66,3,0.0491,False,Active
DEP000028,CUST000193,2021-08-03,36902.12,6,0.0683,True,Matured
DEP000029,CUST000204,2022-12-05,16626.65,24,0.0343,True,Matured
DEP000030,CUST000213,2024-01-22,10631.33,6,0.0796,False,Matured
DEP000031,CUST000220,2024-01-05,39622.43,6,0.0651,False,Active
DEP000032,CUST000221,2020-05-20,44462.75,12,0.0392,False,Matured
DEP000033,CUST000227,2021-10-19,31834.17,12,0.0417,False,Active
DEP000034,CUST000251,2024-08-07,13066.94,24,0.0341,False,Active
DEP000035,CUST000257,2019-10-19,7768.24,24,0.0402,True,Withdrawn Early
DEP000036,CUST000268,2024-05-24,25527.24,12,0.0355,False,Matured
DEP000037,CUST000269,2021-08-29,24843.85,12,0.0348,False,Matured
DEP000038,CUST000304,2022-12-03,38344.81,3,0.0325,True,Matured
DEP000039,CUST000316,2023-11-01,47206.75,3,0.0624,True,Active
DEP000040,CUST000320,2024-12-20,2839.65,24,0.0489,True,Matured
DEP000041,CUST000328,2020-08-04,1994.0,12,0.0486,True,Active
DEP000042,CUST000333,2024-09-20,3930.14,36,0.0427,False,Matured
DEP000043,CUST000338,2020-08-02,25099.16,36,0.0485,True,Matured
DEP000044,CUST000349,2019-10-04,35775.22,12,0.0473,False,Active
DEP000045,CUST000350,2024-07-07,35439.51,6,0.0536,True,Matured
DEP000046,CUST000357,2022-09-21,5459.58,6,0.0628,False,Active
DEP000047,CUST000361,2023-09-18,30581.86,6,0.0684,False,Matured
DEP000048,CUST000366,2024-04-25,13514.55,12,0.0375,False,Withdrawn Early
DEP000049,CUST000377,2024-08-24,28816.55,36,0.0477,True,Matured
DEP000050,CUST000383,2022-06-29,19454.2,12,0.0742,False,Matured
DEP000051,CUST000389,2021-02-21,19484.93,12,0.0735,False,Matured
DEP000052,CUST000395,2021-02-27,10436.72,6,0.0539,False,Matured
DEP000053,CUST000402,2021-10-02,10183.51,24,0.072,False,Matured
DEP000054,CUST000403,2019-02-05,29471.51,6,0.0559,True,Matured
DEP000055,CUST000412,2024-10-25,26657.24,36,0.0778,False,Matured
