employee_id,branch_id,role,hire_date,performance_score
EMP00001,BR001,Teller,2023-04-22,83.3
EMP00002,BR001,Personal Banker,2015-08-14,76.9
EMP00003,BR001,Relationship Manager,2017-01-15,80.5
EMP00004,BR001,Teller,2017-01-02,70.6
EMP00005,BR001,Teller,2021-07-03,80.8
EMP00006,BR001,Teller,2020-11-24,75.1
EMP00007,BR001,Teller,2018-02-15,83.0
EMP00008,BR001,Personal Banker,2020-07-30,69.9
EMP00009,BR001,Personal Banker,2019-06-25,57.6
EMP00010,BR001,Teller,2016-06-16,63.0
EMP00011,BR001,Credit Officer,2018-02-05,70.5
EMP00012,BR001,Credit Officer,2020-08-14,70.7
EMP00013,BR001,Relationship Manager,2021-09-20,72.5
EMP00014,BR001,Teller,2017-07-15,70.9
EMP00015,BR001,Personal Banker,2020-09-03,80.2
EMP00016,BR001,Personal Banker,2014-06-29,67.9
EMP00017,BR001,Branch Manager,2012-03-28,68.6
EMP00018,BR001,Personal Banker,2021-05-06,75.3
EMP00019,BR001,Personal Banker,2013-03-02,62.7
EMP00020,BR001,Personal Banker,2020-01-03,77.6
EMP00021,BR001,Personal Banker,2014-04-27,79.3
EMP00022,BR001,Teller,2016-01-24,60.7
EMP00023,BR001,Teller,2015-09-11,70.3
EMP00024,BR001,Teller,2023-05-26,82.6
EMP00025,BR001,Teller,2013-11-12,62.8
EMP00026,BR002,Relationship Manager,2023-10-23,85.1
EMP00027,BR002,Personal Banker,2020-04-08,80.0
EMP00028,BR002,Personal Banker,2018-01-17,49.4
EMP00029,BR002,Teller,2023-10-01,70.0
EMP00030,BR002,Personal Banker,2016-02-01,73.3
EMP00031,BR002,Relationship Manager,2012-02-14,73.1
EMP00032,BR002,Personal Banker,2023-01-15,54.9
EMP00033,BR002,Relationship Manager,2013-06-18,78.4
EMP00034,BR003,Relationship Manager,2015-06-19,76.6
EMP00035,BR003,Teller,2019-07-28,60.8
EMP00036,BR003,Teller,2023-04-15,66.3
EMP00037,BR003,Personal Banker,2015-10-26,85.1
EMP00038,BR003,Teller,2022-03-23,86.2
EMP00039,BR003,Teller,2019-08-30,74.5
EMP00040,BR003,Credit Officer,2018-05-06,80.4
EMP00041,BR003,Teller,2015-09-06,59.7
EMP00042,BR003,Branch Manager,2017-05-11,93.9
EMP00043,BR003,Branch Manager,2014-10-02,78.4
EMP00044,BR003,Teller,2023-01-03,77.6
EMP00045,BR003,Relationship Manager,2017-01-19,80.1
EMP00046,BR003,Relationship Manager,2016-08-08,77.2
EMP00047,BR003,Credit Officer,2023-09-04,94.8
EMP00048,BR003,Branch Manager,2014-12-20,72.8
EMP00049,BR003,Teller,2016-07-10,61.7
EMP00050,BR003,Teller,2019-05-21,82.7
EMP00051,BR003,Credit Officer,2018-02-24,73.0
EMP00052,BR003,Teller,2018-03-03,91.9
EMP00053,BR003,Teller,2012-03-21,50.4
EMP00054,BR003,Personal Banker,2020-05-07,64.9
EMP00055,BR003,Personal Banker,2017-02-19,71.0
EMP00056,BR003,Relationship Manager,2014-06-17,59.1
EMP00057,BR003,Teller,2017-05-06,80.9
EMP00058,BR003,Personal Banker,2013-07-10,71.1
EMP00059,BR003,Personal Banker,2018-04-06,91.0
EMP00060,BR003,Teller,2020-03-01,66.6
EMP00061,BR003,Teller,2019-05-10,77.1
EMP00062,BR003,Teller,2018-11-03,76.1
EMP00063,BR003,Personal Banker,2012-01-30,97.5
EMP00064,BR003,Credit Officer,2023-11-27,71.6
EMP00065,BR003,Personal Banker,2019-10-25,78.8
EMP00066,BR004,Teller,2021-09-01,66.3
EMP00067,BR004,Relationship Manager,2017-09-14,73.0
EMP00068,BR004,Personal Banker,2014-11-12,68.6
EMP00069,BR004,Personal Banker,2023-06-01,73.9
EMP00070,BR004,Branch Manager,2017-03-31,57.4
EMP00071,BR004,Teller,2015-04-24,61.8
EMP00072,BR004,Relationship Manager,2014-11-30,109.9
EMP00073,BR004,Teller,2017-11-09,79.1
EMP00074,BR004,Relationship Manager,2019-04-28,63.2
EMP00075,BR004,Teller,2023-04-11,80.2
EMP00076,BR004,Teller,2023-05-07,73.4
EMP00077,BR004,Teller,2018-08-28,71.8
EMP00078,BR004,Teller,2012-04-05,68.3
EMP00079,BR004,Personal Banker,2018-05-10,76.9
EMP00080,BR004,Teller,2020-05-21,75.6
EMP00081,BR004,Branch Manager,2021-10-06,78.8
EMP00082,BR004,Teller,2022-06-27,108.8
EMP00083,BR004,Teller,2019-12-01,79.6
EMP00084,BR004,Teller,2019-01-14,61.7
EMP00085,BR004,Branch Manager,2013-04-25,80.8
EMP00086,BR004,Teller,2012-08-21,86.1
EMP00087,BR004,Credit Officer,2014-12-15,69.3
EMP00088,BR004,Relationship Manager,2024-01-26,75.6
EMP00089,BR004,Relationship Manager,2021-02-07,72.0
EMP00090,BR004,Personal Banker,2013-08-28,92.7
EMP00091,BR005,Personal Banker,2021-08-29,77.1
EMP00092,BR005,Teller,2016-09-28,70.5
EMP00093,BR005,Personal Banker,2014-01-13,95.7
