month,total_balance,total_fee_income,total_interest_income_deposits,active_customers,total_transactions,loan_interest_income,deposit_interest_expense,net_interest_income,fee_income,card_revenue,other_operating_income,total_revenue,credit_loss,personnel_cost,branch_cost,technology_cost,marketing_cost,operations_cost,other_operating_costs,total_operating_cost,pre_provision_profit,operating_profit,profit_after_credit_costs,profit_margin,return_on_assets,return_on_equity,cost_to_income_ratio,net_interest_margin
2023-01,23370842.2819484,8440.76,194756.81,20000,22566,405278.46,38951.4,561083.87,8440.76,30735.95,22443.35,622703.93,56019.44,353038.76,103175.8,31135.2,46915.23,37362.24,12454.08,584081.31,38622.62,38622.62,-17396.82,-0.0279,-0.002,-0.0204,0.938,0.0657
2023-02,24078665.476922587,8828.3,200655.63,20000,23449,411152.06,40131.11,571676.58,8828.3,31181.4,22867.06,634553.34,53786.8,344693.67,102068.35,31727.67,32849.39,38073.2,12691.07,562103.35,72449.99,72449.99,18663.19,0.0294,0.0022,0.0217,0.8858,0.0665
2023-03,24610739.98959162,8985.27,205089.36,20000,23789,417025.66,41017.9,581097.12,8985.27,31626.85,23243.88,644953.12,53801.54,350709.04,108011.28,32247.66,35760.8,38697.19,12899.06,578325.03,66628.09,66628.09,12826.55,0.0199,0.0015,0.0148,0.8967,0.0673
2023-04,24794349.55228519,8985.21,206619.49,20000,23861,422899.26,41323.92,588194.83,8985.21,32072.3,23527.79,652780.13,62599.18,358230.8,107045.91,32639.01,34172.1,39166.81,13055.6,584310.23,68469.9,68469.9,5870.72,0.009,0.0007,0.0068,0.8951,0.068
2023-05,24607230.136928808,8780.12,205059.96,20000,23538,428772.87,41012.05,592820.78,8780.12,32517.75,23712.83,657831.48,55719.13,355060.42,103187.89,32891.57,44959.59,39469.89,13156.63,588725.99,69105.49,69105.49,13386.36,0.0203,0.0015,0.0155,0.8949,0.0686
2023-06,24082050.219126433,8590.24,200684.0,20000,22867,434646.47,40136.75,595193.72,8590.24,32963.2,23807.75,660554.91,58882.41,356581.0,104881.34,33027.75,48235.82,39633.29,13211.1,595570.3,64984.61,64984.61,6102.2,0.0092,0.0007,0.0071,0.9016,0.0692
2023-07,23379958.75479806,8345.21,194833.5,19827,22291,440520.07,38966.6,596386.97,8345.21,33408.65,23855.48,661996.31,57250.84,347220.68,102206.73,33099.82,33874.07,39719.78,13239.93,569361.01,92635.3,92635.3,35384.46,0.0535,0.0041,0.0414,0.8601,0.0698
2023-08,22724917.096748814,8031.6,189374.4,19641,21433,446393.67,37874.86,597893.21,8031.6,33854.09,23915.73,663694.63,59786.12,351343.6,107292.13,33184.73,48943.12,39821.68,13273.89,593859.15,69835.48,69835.48,10049.36,0.0151,0.0012,0.0118,0.8948,0.0705
2023-09,22312241.871461652,7774.7,185935.35,19458,20748,452267.27,37187.07,601015.55,7774.7,34299.54,24040.62,667130.41,62718.27,347679.78,104298.07,33356.52,35136.46,40027.82,13342.61,573841.26,93289.15,93289.15,30570.88,0.0458,0.0036,0.0362,0.8602,0.0711
2023-10,22267202.33789471,7695.71,185559.55,19272,20568,458140.87,37112.0,606588.42,7695.71,34744.99,24263.54,673292.66,57673.08,340804.97,104606.11,33664.63,45191.95,40397.56,13465.85,578131.07,95161.59,95161.59,37488.51,0.0557,0.0044,0.0444,0.8587,0.0718
