month,total_balance,total_revenue,net_interest_income,fee_income,total_operating_cost,credit_loss,profit_after_credit_costs,active_customers,outstanding_loans_proxy
2023-01,23370842.2819484,622703.93,561083.87,8440.76,584081.31,56019.44,-17396.82,20000,59309043.217499994
2023-02,24078665.476922587,634553.34,571676.58,8828.3,562103.35,53786.8,18663.19,20000,60168594.56847826
2023-03,24610739.98959162,644953.12,581097.12,8985.27,578325.03,53801.54,12826.55,20000,61028145.91945651
2023-04,24794349.55228519,652780.13,588194.83,8985.21,584310.23,62599.18,5870.72,20000,61887697.27043478
2023-05,24607230.136928808,657831.48,592820.78,8780.12,588725.99,55719.13,13386.36,20000,62747248.62141304
2023-06,24082050.219126433,660554.91,595193.72,8590.24,595570.3,58882.41,6102.2,20000,63606799.9723913
2023-07,23379958.75479806,661996.31,596386.97,8345.21,569361.01,57250.84,35384.46,19827,64466351.323369555
2023-08,22724917.096748814,663694.63,597893.21,8031.6,593859.15,59786.12,10049.36,19641,65325902.67434782
2023-09,22312241.871461652,667130.41,601015.55,7774.7,573841.26,62718.27,30570.88,19458,66185454.02532607
2023-10,22267202.33789471,673292.66,606588.42,7695.71,578131.07,57673.08,37488.51,19272,67045005.37630434
2023-11,22482493.762311876,681344.82,613898.02,7700.44,592502.93,70141.01,18700.88,19090,67904556.7272826
2023-12,22982871.04358625,691501.4,623106.76,7834.48,587702.0,69300.74,34498.66,18917,68764108.07826085
2024-01,23614271.710642975,702685.66,633190.19,8086.52,592127.23,65906.18,44652.25,18768,69623659.42923912
2024-02,24127518.30924668,712732.5,642485.69,8020.59,580470.5,72968.01,59293.99,18586,70483210.78021738
2024-03,24439182.39775041,721617.31,650436.39,8191.23,577762.28,71485.59,72369.44,18407,71342762.13119565
2024-04,24369563.631360985,727457.78,655846.26,7959.99,598713.13,65167.47,63577.18,18244,72202313.4821739
2024-05,24008775.516923703,731339.86,659314.75,7789.39,583703.1,69320.77,78315.99,18065,73061864.83315216
2024-06,23427572.37940433,733674.7,661312.51,7601.11,584449.73,70160.55,79064.42,17876,73921416.18413042
2024-07,22811230.24974696,735587.83,663077.45,7233.25,592723.93,75820.84,67043.06,17677,74780967.53510869
2024-08,22366029.068878125,738859.8,665983.52,7037.46,610809.46,78459.88,49590.46,17513,75640518.88608696
2024-09,22227804.405092314,744346.41,670935.8,6928.25,601857.22,65440.66,77048.53,17350,76500070.23706521
2024-10,22475517.43373863,752495.51,678461.18,6805.51,581900.31,67497.76,103097.44,17156,77359621.58804347
2024-11,23125925.033051353,763839.38,688670.33,7086.42,602762.9,73571.29,87505.19,16985,78219172.93902172
2024-12,23964699.00783761,776317.14,700136.09,7194.34,591033.46,77474.34,107809.34,16804,79078724.28999999
