fraud_id,customer_id,event_date,fraud_category,channel,amount_at_risk,loss_amount,detected_flag,false_positive_flag,region
FRD00001,CUST009757,2024-08-21,Suspicious Transfer,Mobile App,155.54,5.26,True,False,Region-02
FRD00002,CUST013532,2023-11-24,Suspicious Transfer,Mobile App,690.8,224.38,True,False,Region-06
FRD00003,CUST002312,2023-06-28,Suspicious Transfer,Branch,630.02,116.64,True,False,Region-12
FRD00004,CUST008077,2023-12-21,Identity-related Anomaly,Online Banking,674.84,253.9,True,False,Region-09
FRD00005,CUST014675,2023-03-14,Account Takeover,Online Banking,267.51,45.19,True,False,Region-07
FRD00006,CUST008962,2024-09-02,Suspicious Transfer,Branch,393.43,153.11,True,False,Region-04
FRD00007,CUST011286,2024-03-14,Identity-related Anomaly,Card Network,444.37,5.1,True,False,Region-12
FRD00008,CUST015737,2023-01-05,Suspicious Transfer,Online Banking,849.5,31.73,True,False,Region-12
FRD00009,CUST013658,2024-10-18,Identity-related Anomaly,ATM,396.49,68.42,True,False,Region-08
FRD00010,CUST003044,2023-03-31,Unusual Transaction Pattern,Online Banking,858.69,108.11,True,False,Region-01
FRD00011,CUST015478,2023-06-30,Account Takeover,Branch,1142.54,19.2,True,False,Region-08
FRD00012,CUST019070,2023-10-04,Account Takeover,Mobile App,1241.65,56.44,True,False,Region-09
FRD00013,CUST010148,2023-08-14,Card Fraud,Online Banking,878.36,2408.51,False,True,Region-11
FRD00014,CUST009893,2024-12-26,Card Fraud,Online Banking,802.01,16.14,True,False,Region-09
FRD00015,CUST019731,2023-10-26,Unusual Transaction Pattern,Online Banking,881.06,88.22,True,False,Region-05
FRD00016,CUST004992,2023-10-29,Identity-related Anomaly,Branch,1223.91,20.95,True,False,Region-08
FRD00017,CUST003752,2024-02-20,Suspicious Transfer,ATM,891.04,24.93,True,False,Region-12
FRD00018,CUST015577,2023-12-07,Suspicious Transfer,Branch,1070.25,22.56,True,False,Region-04
FRD00019,CUST017724,2024-11-17,Card Fraud,ATM,1836.26,9.46,True,False,Region-12
FRD00020,CUST000535,2024-05-12,Card Fraud,Mobile App,787.73,182.78,True,False,Region-12
FRD00021,CUST001211,2024-03-11,Card Fraud,Mobile App,586.63,463.12,False,False,Region-09
FRD00022,CUST018115,2023-08-09,Unusual Transaction Pattern,Mobile App,926.83,613.06,False,False,Region-02
FRD00023,CUST005248,2023-09-21,Card Fraud,Card Network,967.83,83.09,True,False,Region-04
FRD00024,CUST008437,2023-01-15,Card Fraud,Branch,739.48,38.8,True,False,Region-10
FRD00025,CUST011811,2023-07-06,Identity-related Anomaly,Mobile App,534.55,24.2,True,False,Region-07
FRD00026,CUST012515,2023-03-07,Unusual Transaction Pattern,Card Network,977.09,37.27,True,False,Region-01
FRD00027,CUST008515,2024-02-02,Card Fraud,ATM,323.73,109.23,True,False,Region-10
FRD00028,CUST018583,2023-07-16,Card Fraud,Mobile App,1163.05,1485.04,False,False,Region-11
FRD00029,CUST002256,2024-03-06,Unusual Transaction Pattern,Mobile App,1168.76,52.53,True,False,Region-07
