loan_id,customer_id,payment_number,payment_amount,payment_status
LN003965,CUST005026,1,36.97,On-Time
LN003965,CUST005026,2,36.97,On-Time
LN003965,CUST005026,3,36.97,On-Time
LN003965,CUST005026,4,36.97,On-Time
LN003965,CUST005026,5,36.97,On-Time
LN003965,CUST005026,6,36.97,On-Time
LN003965,CUST005026,7,36.97,On-Time
LN003965,CUST005026,8,36.97,On-Time
LN003965,CUST005026,9,36.97,On-Time
LN003965,CUST005026,10,36.97,On-Time
LN003965,CUST005026,11,36.97,On-Time
LN003965,CUST005026,12,36.97,On-Time
LN003965,CUST005026,13,36.97,On-Time
LN003965,CUST005026,14,36.97,On-Time
LN003965,CUST005026,15,36.97,On-Time
LN003965,CUST005026,16,36.97,On-Time
LN003965,CUST005026,17,36.97,On-Time
LN003965,CUST005026,18,36.97,On-Time
LN003965,CUST005026,19,36.97,On-Time
LN003965,CUST005026,20,36.97,On-Time
LN003965,CUST005026,21,36.97,On-Time
LN000292,CUST000346,1,71.52,On-Time
LN000292,CUST000346,2,71.52,On-Time
LN000292,CUST000346,3,71.52,On-Time
LN000292,CUST000346,4,71.52,On-Time
LN000292,CUST000346,5,71.52,On-Time
LN000292,CUST000346,6,71.52,On-Time
LN000292,CUST000346,7,71.52,On-Time
LN000292,CUST000346,8,71.52,On-Time
LN000292,CUST000346,9,71.52,On-Time
LN000292,CUST000346,10,71.52,On-Time
LN000292,CUST000346,11,71.52,On-Time
LN000292,CUST000346,12,71.52,On-Time
LN000292,CUST000346,13,71.52,On-Time
LN000292,CUST000346,14,71.52,On-Time
LN000292,CUST000346,15,71.52,On-Time
LN000292,CUST000346,16,71.52,On-Time
LN000292,CUST000346,17,71.52,On-Time
LN000292,CUST000346,18,71.52,On-Time
LN000292,CUST000346,19,71.52,On-Time
LN000292,CUST000346,20,71.52,On-Time
LN000292,CUST000346,21,71.52,On-Time
LN000292,CUST000346,22,71.52,On-Time
LN000292,CUST000346,23,71.52,On-Time
LN000292,CUST000346,24,71.52,On-Time
LN003976,CUST005046,1,178.7,On-Time
LN003976,CUST005046,2,178.7,On-Time
LN003976,CUST005046,3,178.7,On-Time
LN003976,CUST005046,4,178.7,Late
LN003976,CUST005046,5,178.7,On-Time
LN003976,CUST005046,6,178.7,On-Time
LN003976,CUST005046,7,178.7,On-Time
LN003976,CUST005046,8,178.7,Late
LN003976,CUST005046,9,178.7,On-Time
LN003976,CUST005046,10,178.7,On-Time
LN003976,CUST005046,11,178.7,On-Time
LN003976,CUST005046,12,178.7,On-Time
LN003976,CUST005046,13,178.7,On-Time
LN003976,CUST005046,14,178.7,On-Time
LN003976,CUST005046,15,178.7,On-Time
LN003976,CUST005046,16,178.7,On-Time
LN003976,CUST005046,17,178.7,On-Time
LN003976,CUST005046,18,178.7,On-Time
LN003976,CUST005046,19,178.7,On-Time
LN003976,CUST005046,20,178.7,On-Time
LN003976,CUST005046,21,178.7,On-Time
LN003976,CUST005046,22,178.7,On-Time
LN003976,CUST005046,23,178.7,On-Time
LN003976,CUST005046,24,178.7,On-Time
LN007672,CUST009772,1,11.28,On-Time
LN007672,CUST009772,2,11.28,On-Time
LN007672,CUST009772,3,11.28,On-Time
LN007672,CUST009772,4,11.28,On-Time
LN007672,CUST009772,5,11.28,On-Time
LN007672,CUST009772,6,11.28,On-Time
LN007672,CUST009772,7,11.28,On-Time
LN007672,CUST009772,8,11.28,On-Time
LN007672,CUST009772,9,11.28,On-Time
LN007672,CUST009772,10,11.28,On-Time
LN007672,CUST009772,11,11.28,On-Time
LN001373,CUST001754,1,67.36,On-Time
LN001373,CUST001754,2,67.36,On-Time
LN001373,CUST001754,3,67.36,On-Time
LN001373,CUST001754,4,67.36,On-Time
LN001373,CUST001754,5,67.36,On-Time
LN001373,CUST001754,6,67.36,On-Time
LN001373,CUST001754,7,67.36,On-Time
LN001373,CUST001754,8,67.36,On-Time
LN001373,CUST001754,9,67.36,On-Time
LN001373,CUST001754,10,67.36,On-Time
LN001373,CUST001754,11,67.36,On-Time
LN001373,CUST001754,12,67.36,On-Time
LN001373,CUST001754,13,67.36,On-Time
LN001373,CUST001754,14,67.36,On-Time
LN001373,CUST001754,15,67.36,On-Time
LN001373,CUST001754,16,67.36,On-Time
LN001373,CUST001754,17,67.36,On-Time
LN001373,CUST001754,18,67.36,On-Time
LN001373,CUST001754,19,67.36,On-Time
LN001373,CUST001754,20,67.36,On-Time
LN001373,CUST001754,21,67.36,On-Time
LN001663,CUST002114,1,231.24,On-Time
LN001663,CUST002114,2,231.24,On-Time
LN001663,CUST002114,3,231.24,On-Time
LN001663,CUST002114,4,231.24,On-Time
LN001663,CUST002114,5,231.24,On-Time
LN001663,CUST002114,6,231.24,On-Time
LN001663,CUST002114,7,231.24,On-Time
LN001663,CUST002114,8,231.24,On-Time
LN001663,CUST002114,9,231.24,On-Time
LN001663,CUST002114,10,231.24,On-Time
LN001663,CUST002114,11,231.24,On-Time
LN001663,CUST002114,12,231.24,On-Time
LN001663,CUST002114,13,231.24,On-Time
LN001663,CUST002114,14,231.24,On-Time
LN001663,CUST002114,15,231.24,On-Time
LN001663,CUST002114,16,231.24,On-Time
LN001663,CUST002114,17,231.24,On-Time
LN001663,CUST002114,18,231.24,On-Time
LN001663,CUST002114,19,231.24,On-Time
LN001663,CUST002114,20,231.24,On-Time
LN001663,CUST002114,21,231.24,On-Time
LN001663,CUST002114,22,231.24,On-Time
LN001663,CUST002114,23,231.24,On-Time
LN001663,CUST002114,24,231.24,On-Time
LN011760,CUST015017,1,81.68,On-Time
LN011760,CUST015017,2,81.68,On-Time
LN011760,CUST015017,3,81.68,On-Time
LN011760,CUST015017,4,81.68,On-Time
LN011760,CUST015017,5,81.68,On-Time
LN011760,CUST015017,6,81.68,On-Time
LN011760,CUST015017,7,81.68,On-Time
LN011760,CUST015017,8,81.68,On-Time
LN011760,CUST015017,9,81.68,On-Time
LN011760,CUST015017,10,81.68,On-Time
LN011760,CUST015017,11,81.68,On-Time
LN011760,CUST015017,12,81.68,On-Time
LN011760,CUST015017,13,81.68,On-Time
LN011760,CUST015017,14,81.68,On-Time
LN011760,CUST015017,15,81.68,On-Time
LN011760,CUST015017,16,81.68,On-Time
LN011760,CUST015017,17,81.68,On-Time
LN011760,CUST015017,18,81.68,On-Time
LN012508,CUST015971,1,458.94,On-Time
LN012508,CUST015971,2,458.94,On-Time
LN012508,CUST015971,3,458.94,On-Time
LN012508,CUST015971,4,458.94,On-Time
LN012989,CUST016582,1,129.29,On-Time
LN012989,CUST016582,2,129.29,On-Time
LN012989,CUST016582,3,129.29,On-Time
LN012989,CUST016582,4,129.29,On-Time
LN012989,CUST016582,5,129.29,On-Time
LN012989,CUST016582,6,129.29,On-Time
LN012989,CUST016582,7,129.29,On-Time
