loan_id,customer_id,product_id,loan_type,origination_date,term_months,interest_rate,loan_amount,outstanding_balance,probability_of_default,exposure_at_default,loss_given_default,dpd_bucket,default_flag,risk_bucket,branch_id,region,acquisition_channel,expected_credit_loss
LN000001,CUST000001,PRD06,Auto Loan,2022-06-16,60,0.11,3371.09,1576.55,0.004,3090.79,0.503,Current,False,Low,BR016,Region-10,CH06,6.22
LN000002,CUST000001,PRD11,Overdraft Facility,2019-12-27,12,0.2,2821.46,908.1,0.0082,2652.37,0.275,Current,False,Low,BR016,Region-10,CH06,5.98
LN000003,CUST000001,PRD07,Mortgage,2017-02-02,240,0.085,18055.01,12813.22,0.0131,14587.4,0.419,Current,False,Low,BR016,Region-10,CH06,80.07
LN000004,CUST000001,PRD08,Consumer Loan,2017-03-26,24,0.18,3711.98,2680.97,0.0344,2533.64,0.324,Current,False,Low,BR016,Region-10,CH06,28.24
LN000005,CUST000002,PRD05,Personal Loan,2024-04-29,36,0.16,2405.27,1616.25,0.0276,2130.88,0.372,30-59,False,Elevated,BR020,Region-07,CH03,21.88
LN000006,CUST000002,PRD11,Overdraft Facility,2018-04-02,12,0.2,1813.06,1218.91,0.0233,1199.31,0.317,Current,False,Elevated,BR020,Region-07,CH03,8.86
LN000007,CUST000003,PRD08,Consumer Loan,2023-10-13,24,0.18,2668.03,2143.07,0.0371,1704.93,0.554,Current,False,Moderate,BR011,Region-05,CH01,35.04
LN000008,CUST000004,PRD05,Personal Loan,2021-05-02,36,0.16,639.38,336.21,0.0083,627.77,0.44,Current,False,Critical,BR008,Region-05,CH04,2.29
LN000009,CUST000004,PRD07,Mortgage,2022-10-29,240,0.085,3793.53,2128.71,0.152,3497.21,0.448,90+,True,Critical,BR008,Region-05,CH04,238.15
LN000010,CUST000005,PRD06,Auto Loan,2023-09-30,60,0.11,1622.54,1467.49,0.0217,1588.25,0.608,Current,False,Low,BR021,Region-04,CH07,20.95
LN000011,CUST000006,PRD06,Auto Loan,2018-02-09,60,0.11,500.0,129.76,0.0045,471.75,0.458,Current,False,Moderate,BR024,Region-04,CH12,0.97
LN000012,CUST000010,PRD07,Mortgage,2019-08-19,240,0.085,50570.73,40708.81,0.0879,34108.69,0.644,Current,False,Moderate,BR016,Region-07,CH12,1930.81
LN000013,CUST000018,PRD05,Personal Loan,2022-10-13,36,0.16,7564.35,5285.98,0.0179,5587.6,0.432,Current,False,Low,BR018,Region-08,CH03,43.21
LN000014,CUST000019,PRD08,Consumer Loan,2024-12-06,24,0.18,4949.99,2136.54,0.0122,4643.76,0.389,Current,False,Elevated,BR013,Region-10,CH02,22.04
LN000015,CUST000020,PRD07,Mortgage,2019-10-23,240,0.085,123805.58,44645.57,0.024,87724.88,0.482,Current,False,Low,BR003,Region-02,CH05,1014.8
