branch_id,month,active_customers,total_balance,total_transactions,fee_income,interest_income,employee_count,loan_interest_income,revenue,operating_cost,profit,revenue_per_employee
BR001,2023-01,743,818217.2862245587,793,287.03000000000003,6818.33,25,13371.75,20477.11,24077.8,-3600.69,819.08
BR001,2023-02,743,838999.8192105241,867,331.09,6991.7,25,13565.54,20888.33,18559.61,2328.72,835.53
BR001,2023-03,743,860663.0006201711,877,340.13,7172.13,25,13759.34,21271.6,23837.69,-2566.09,850.86
BR001,2023-04,743,872329.9185151142,901,343.82,7269.4,25,13953.13,21566.35,18417.11,3149.24,862.65
BR001,2023-05,743,863137.7522453661,812,300.39,7192.81,25,14146.92,21640.12,21183.79,456.33,865.6
BR001,2023-06,743,854735.3907143302,854,317.45,7122.86,25,14340.72,21781.03,20472.02,1309.01,871.24
BR001,2023-07,739,825562.1266792436,818,313.47,6879.62,25,14534.51,21727.6,19577.76,2149.84,869.1
BR001,2023-08,732,802669.838462794,843,315.11,6688.91,25,14728.3,21732.32,21245.69,486.63,869.29
BR001,2023-09,723,785964.4583339539,731,270.53,6549.72,25,14922.1,21742.35,18402.96,3339.39,869.69
BR001,2023-10,714,789779.8188346135,792,292.27,6581.45,25,15115.89,21989.61,20888.41,1101.2,879.58
BR001,2023-11,708,797441.0241751019,756,272.22,6645.22,25,15309.68,22227.12,23923.29,-1696.17,889.08
BR001,2023-12,702,815592.1667828057,716,265.19,6796.56,25,15503.48,22565.23,24629.83,-2064.6,902.61
BR001,2024-01,695,837001.4894139696,839,317.43,6975.11,25,15697.27,22989.81,19386.26,3603.55,919.59
BR001,2024-02,694,857005.55067012,782,298.76,7141.76,25,15891.06,23331.58,24129.41,-797.83,933.26
BR001,2024-03,681,867992.4912777018,813,298.81,7233.34,25,16084.86,23617.01,23562.45,54.56,944.68
BR001,2024-04,674,869841.9139833628,754,292.12,7248.57,25,16278.65,23819.34,22936.54,882.8,952.77
BR001,2024-05,668,856806.9333698633,803,297.29,7140.07,25,16472.44,23909.8,20123.18,3786.62,956.39
BR001,2024-06,664,845169.4940251638,796,301.31,7043.06,25,16666.24,24010.61,17946.7,6063.91,960.42
BR001,2024-07,659,823636.0441059307,697,261.44,6863.68,25,16860.03,23985.15,18248.65,5736.5,959.41
BR001,2024-08,654,809923.9853543809,710,264.85,6749.43,25,17053.82,24068.1,18899.32,5168.78,962.72
BR001,2024-09,650,811555.5935273623,728,271.37,6762.89,25,17247.62,24281.88,22162.48,2119.4,971.28
BR001,2024-10,644,824836.4771226047,710,274.87,6873.67,25,17441.41,24589.95,17567.05,7022.9,983.6
BR001,2024-11,640,846494.8671657566,757,282.52,7054.19,25,17635.21,24971.92,23534.45,1437.47,998.88
BR001,2024-12,631,878281.8934301651,736,278.88,7318.91,25,17829.0,25426.79,24290.87,1135.92,1017.07
BR002,2023-01,806,934835.9110884744,890,338.14,7790.28,8,16533.66,24662.08,7413.44,17248.64,3082.76
BR002,2023-02,806,966973.6259705761,971,370.42,8058.01,8,16773.28,25201.71,8319.98,16881.73,3150.21
BR002,2023-03,806,984087.8621135403,1030,391.44,8200.73,8,17012.89,25605.06,6363.38,19241.68,3200.63
BR002,2023-04,806,991916.5256165443,1000,382.55,8265.92,8,17252.51,25900.98,6415.77,19485.21,3237.62
BR002,2023-05,806,982411.1413884318,959,357.28,8186.78,8,17492.13,26036.19,7625.79,18410.4,3254.52
BR002,2023-06,806,966032.0986996177,915,348.81,8050.14,8,17731.75,26130.7,8361.93,17768.77,3266.34
BR002,2023-07,798,940432.3580423193,940,349.71,7836.93,8,17971.37,26158.01,6429.69,19728.32,3269.75
BR002,2023-08,792,915728.3393509055,881,335.19,7631.08,8,18210.99,26177.26,6660.61,19516.65,3272.16
BR002,2023-09,788,899701.5948795192,864,326.82,7497.54,8,18450.6,26274.96,7640.93,18634.03,3284.37
BR002,2023-10,783,899597.3719325099,924,349.98,7496.6,8,18690.22,26536.8,6888.49,19648.31,3317.1
BR002,2023-11,777,911061.3879239324,887,323.8,7592.13,8,18929.84,26845.77,7463.51,19382.26,3355.72
BR002,2023-12,773,929937.3012133328,918,355.88,7749.44,8,19169.46,27274.78,7140.99,20133.79,3409.35
BR002,2024-01,766,951632.1343046131,904,338.67,7930.4,8,19409.08,27678.15,7312.87,20365.28,3459.77
BR002,2024-02,754,968961.8960521215,946,356.72,8074.7,8,19648.69,28080.11,7163.96,20916.15,3510.01
BR002,2024-03,744,980097.694996799,879,328.98,8167.5,8,19888.31,28384.79,6935.49,21449.3,3548.1
BR002,2024-04,738,980689.9229057687,852,318.78000000000003,8172.43,8,20127.93,28619.14,7364.15,21254.99,3577.39
BR002,2024-05,733,967353.9351471948,880,327.92,8061.22,8,20367.55,28756.69,6838.37,21918.32,3594.59
BR002,2024-06,725,939554.2875913704,888,336.55,7829.46,8,20607.17,28773.18,8919.03,19854.15,3596.65
BR002,2024-07,717,913253.0657373668,835,306.23,7610.43,8,20846.79,28763.45,6501.17,22262.28,3595.43
BR002,2024-08,709,892805.6321623335,813,306.21,7439.96,8,21086.4,28832.57,6898.09,21934.48,3604.07
BR002,2024-09,700,902213.4068620012,796,295.71,7518.36,8,21326.02,29140.09,7865.78,21274.31,3642.51
BR002,2024-10,691,912245.3076878139,790,300.29,7602.01,8,21565.64,29467.94,6936.38,22531.56,3683.49
BR002,2024-11,684,936696.4854658371,804,301.95,7805.83,8,21805.26,29913.04,7850.23,22062.81,3739.13
BR002,2024-12,678,971912.9343262747,789,284.68,8099.29,8,22044.88,30428.85,8637.09,21791.76,3803.61
BR003,2023-01,799,899309.0904124933,869,322.08,7494.2,32,17904.26,25720.54,28565.34,-2844.8,803.77
BR003,2023-02,799,931899.0742785473,911,345.64,7765.76,32,18163.75,26275.15,28114.89,-1839.74,821.1
BR003,2023-03,799,951126.3028160548,898,337.16,7926.13,32,18423.23,26686.52,23929.86,2756.66,833.95
BR003,2023-04,799,962385.9392223518,901,343.85,8019.87,32,18682.71,27046.43,25958.69,1087.74,845.2
BR003,2023-05,799,956859.3173861684,899,329.58,7973.7,32,18942.19,27245.47,27030.79,214.68,851.42
BR003,2023-06,799,941612.8523336195,918,334.75,7846.76,32,19201.68,27383.19,26171.02,1212.17,855.72
BR003,2023-07,796,918916.1811135426,860,315.67,7657.66,32,19461.16,27434.49,28629.84,-1195.35,857.33
BR003,2023-08,789,889818.4451908432,827,311.79,7415.13,32,19720.64,27447.56,31056.51,-3608.95,857.74
BR003,2023-09,783,881178.6994112853,835,304.25,7343.29,32,19980.12,27627.66,29566.24,-1938.58,863.36
BR003,2023-10,775,883002.9818606499,761,280.74,7358.4,32,20239.6,27878.74,28552.95,-674.21,871.21
BR003,2023-11,768,886388.3986844837,826,314.87,7386.49,32,20499.09,28200.45,27328.64,871.81,881.26
BR003,2023-12,765,915300.2024461926,821,307.59,7627.42,32,20758.57,28693.58,22090.58,6603.0,896.67
BR003,2024-01,762,941648.0392975025,882,332.16,7847.08,32,21018.05,29197.29,29155.55,41.74,912.42
BR003,2024-02,756,977240.545970671,808,297.8,8143.62,32,21277.53,29718.95,24605.09,5113.86,928.72
BR003,2024-03,751,984094.0484435433,888,335.99,8200.76,32,21537.01,30073.76,30808.3,-734.54,939.8
BR003,2024-04,747,986117.7798368654,899,336.78,8217.71,32,21796.5,30350.99,30413.07,-62.08,948.47
BR003,2024-05,736,979978.1274407728,879,323.25,8166.52,32,22055.98,30545.75,22002.43,8543.32,954.55
BR003,2024-06,730,957721.9881734354,827,303.32,7980.89,32,22315.46,30599.67,25390.58,5209.09,956.24
BR003,2024-07,724,942980.1934688129,815,295.49,7858.18,32,22574.94,30728.61,29737.41,991.2,960.27
BR003,2024-08,719,923000.8668285683,710,265.63,7691.55,32,22834.42,30791.6,28288.15,2503.45,962.24
BR003,2024-09,711,915203.4008533576,827,318.35,7626.74,32,23093.91,31039.0,30639.84,399.16,969.97
BR003,2024-10,698,923574.964228911,761,278.3,7696.64,32,23353.39,31328.33,24316.24,7012.09,979.01
BR003,2024-11,690,956876.9269686134,739,278.6,7973.93,32,23612.87,31865.4,25406.12,6459.28,995.79
BR003,2024-12,679,987806.1998831959,762,283.04,8231.64,32,23872.35,32387.03,28498.53,3888.5,1012.09
BR004,2023-01,791,955366.2276238732,910,334.16,7961.34,25,14918.27,23213.77,24697.61,-1483.84,928.55
BR004,2023-02,791,976300.1418552316,908,342.28,8135.87,25,15134.48,23612.63,18355.67,5256.96,944.51
BR004,2023-03,791,991393.6316826098,896,349.29,8261.58,25,15350.69,23961.56,18432.75,5528.81,958.46
BR004,2023-04,791,1006384.3603341135,908,343.16,8386.53,25,15566.89,24296.58,24568.51,-271.93,971.86
BR004,2023-05,791,1002505.6878828857,912,329.44,8354.27,25,15783.1,24466.81,20812.53,3654.28,978.67
BR004,2023-06,791,981187.8588814661,909,342.26,8176.56,25,15999.31,24518.13,23494.94,1023.19,980.73
BR004,2023-07,786,954220.1451675,898,336.2,7951.88,25,16215.52,24503.6,20974.2,3529.4,980.14
BR004,2023-08,775,929729.9950697733,828,303.84,7747.81,25,16431.72,24483.37,21238.17,3245.2,979.33
BR004,2023-09,772,914971.3565195109,810,302.8,7624.83,25,16647.93,24575.56,18412.64,6162.92,983.02
BR004,2023-10,768,915065.1067287032,829,311.36,7625.51,25,16864.14,24801.01,19494.97,5306.04,992.04
BR004,2023-11,762,916651.8316866594,806,303.73,7638.75,25,17080.34,25022.82,23069.57,1953.25,1000.91
BR004,2023-12,751,934661.9405851499,872,325.53,7788.84,25,17296.55,25410.92,21813.39,3597.53,1016.44
BR004,2024-01,745,960312.1111611786,808,305.02,8002.49,25,17512.76,25820.27,21631.77,4188.5,1032.81
BR004,2024-02,739,974705.4276572956,776,293.01,8122.5,25,17728.96,26144.47,19653.8,6490.67,1045.78
BR004,2024-03,734,987320.224358237,823,299.66,8227.66,25,17945.17,26472.49,17801.01,8671.48,1058.9
BR004,2024-04,724,986307.9513587117,790,289.78000000000003,8219.2,25,18161.38,26670.36,23755.4,2914.96,1066.81
BR004,2024-05,715,974881.1864313874,787,294.11,8123.97,25,18377.58,26795.66,22343.58,4452.08,1071.83
BR004,2024-06,710,959637.8788292062,843,314.93,7996.98,25,18593.79,26905.7,17407.12,9498.58,1076.23
BR004,2024-07,703,938859.7641983974,726,266.26,7823.76,25,18810.0,26900.02,19569.7,7330.32,1076.0
BR004,2024-08,694,925920.3022359693,697,259.49,7716.01,25,19026.2,27001.7,17674.55,9327.15,1080.07
BR004,2024-09,689,918010.903213438,735,275.52,7650.05,25,19242.41,27167.98,21153.01,6014.97,1086.72
BR004,2024-10,684,934040.671602911,700,263.49,7783.57,25,19458.62,27505.68,19561.81,7943.87,1100.23
BR004,2024-11,675,958621.7197094605,733,275.52,7988.59,25,19674.83,27938.94,21157.32,6781.62,1117.56
BR004,2024-12,667,991964.4080582344,714,261.37,8266.3,25,19891.03,28418.7,24185.19,4233.51,1136.75
BR005,2023-01,791,985088.607401144,920,356.71,8209.09,27,16619.49,25185.29,22750.15,2435.14,932.79
BR005,2023-02,791,1008899.2469773386,941,353.61,8407.44,27,16860.36,25621.41,20233.46,5387.95,948.94
BR005,2023-03,791,1042265.1046302461,941,362.22,8685.57,27,17101.22,26149.01,24661.21,1487.8,968.48
BR005,2023-04,791,1046477.829732651,972,368.07,8720.58,27,17342.08,26430.73,25765.01,665.72,978.92
BR005,2023-05,791,1037599.9959195834,905,337.41,8646.59,27,17582.94,26566.94,21073.24,5493.7,983.96
