product_id,month,active_customers,new_customers,product_name,fee_rate,interest_rate,monthly_fee,revenue
PRD01,2023-01,9182,284,Checking Account,0.0,0.001,3.0,27565.13
PRD02,2023-01,3499,93,Savings Account,0.0,0.015,0.0,109.34
PRD03,2023-01,2604,70,Credit Card,0.02,0.24,0.0,2083.2
PRD04,2023-01,2675,85,Debit Card,0.005,0.0,0.0,200.62
PRD05,2023-01,1466,42,Personal Loan,0.01,0.16,0.0,708.57
PRD06,2023-01,1443,43,Auto Loan,0.008,0.11,0.0,503.85
PRD07,2023-01,1457,45,Mortgage,0.005,0.085,0.0,367.29
PRD08,2023-01,1388,43,Consumer Loan,0.01,0.18,0.0,728.7
PRD09,2023-01,1504,54,Term Deposit,0.0,0.06,0.0,188.0
PRD10,2023-01,1345,39,Investment Account,0.012,0.0,0.0,242.1
PRD11,2023-01,1478,39,Overdraft Facility,0.015,0.2,2.0,3904.38
PRD12,2023-01,1470,51,Bancassurance,0.1,0.0,0.0,2205.0
PRD01,2023-02,9446,264,Checking Account,0.0,0.001,3.0,28357.68
PRD02,2023-02,3616,117,Savings Account,0.0,0.015,0.0,113.0
PRD03,2023-02,2691,87,Credit Card,0.02,0.24,0.0,2152.8
PRD04,2023-02,2743,68,Debit Card,0.005,0.0,0.0,205.72
PRD05,2023-02,1519,53,Personal Loan,0.01,0.16,0.0,734.18
PRD06,2023-02,1478,35,Auto Loan,0.008,0.11,0.0,516.07
PRD07,2023-02,1493,36,Mortgage,0.005,0.085,0.0,376.36
PRD08,2023-02,1442,54,Consumer Loan,0.01,0.18,0.0,757.05
PRD09,2023-02,1546,42,Term Deposit,0.0,0.06,0.0,193.25
PRD10,2023-02,1396,51,Investment Account,0.012,0.0,0.0,251.28
PRD11,2023-02,1522,44,Overdraft Facility,0.015,0.2,2.0,4020.62
PRD12,2023-02,1489,19,Bancassurance,0.1,0.0,0.0,2233.5
PRD01,2023-03,9743,297,Checking Account,0.0,0.001,3.0,29249.3
PRD02,2023-03,3732,116,Savings Account,0.0,0.015,0.0,116.62
PRD03,2023-03,2774,83,Credit Card,0.02,0.24,0.0,2219.2
PRD04,2023-03,2827,84,Debit Card,0.005,0.0,0.0,212.02
PRD05,2023-03,1574,55,Personal Loan,0.01,0.16,0.0,760.77
PRD06,2023-03,1525,47,Auto Loan,0.008,0.11,0.0,532.48
PRD07,2023-03,1540,47,Mortgage,0.005,0.085,0.0,388.21
PRD08,2023-03,1499,57,Consumer Loan,0.01,0.18,0.0,786.98
PRD09,2023-03,1603,57,Term Deposit,0.0,0.06,0.0,200.38
PRD10,2023-03,1455,59,Investment Account,0.012,0.0,0.0,261.9
PRD11,2023-03,1572,50,Overdraft Facility,0.015,0.2,2.0,4152.7
PRD12,2023-03,1529,40,Bancassurance,0.1,0.0,0.0,2293.5
PRD01,2023-04,10068,325,Checking Account,0.0,0.001,3.0,30224.98
PRD02,2023-04,3866,134,Savings Account,0.0,0.015,0.0,120.81
PRD03,2023-04,2867,93,Credit Card,0.02,0.24,0.0,2293.6
PRD04,2023-04,2926,99,Debit Card,0.005,0.0,0.0,219.45
PRD05,2023-04,1611,37,Personal Loan,0.01,0.16,0.0,778.65
PRD06,2023-04,1565,40,Auto Loan,0.008,0.11,0.0,546.45
PRD07,2023-04,1582,42,Mortgage,0.005,0.085,0.0,398.8
PRD08,2023-04,1547,48,Consumer Loan,0.01,0.18,0.0,812.18
PRD09,2023-04,1650,47,Term Deposit,0.0,0.06,0.0,206.25
PRD10,2023-04,1506,51,Investment Account,0.012,0.0,0.0,271.08
PRD11,2023-04,1612,40,Overdraft Facility,0.015,0.2,2.0,4258.37
PRD12,2023-04,1573,44,Bancassurance,0.1,0.0,0.0,2359.5
PRD01,2023-05,10406,338,Checking Account,0.0,0.001,3.0,31239.68
PRD02,2023-05,3994,128,Savings Account,0.0,0.015,0.0,124.81
PRD03,2023-05,2951,84,Credit Card,0.02,0.24,0.0,2360.8
PRD04,2023-05,3019,93,Debit Card,0.005,0.0,0.0,226.42
PRD05,2023-05,1659,48,Personal Loan,0.01,0.16,0.0,801.85
PRD06,2023-05,1616,51,Auto Loan,0.008,0.11,0.0,564.25
PRD07,2023-05,1631,49,Mortgage,0.005,0.085,0.0,411.15
PRD08,2023-05,1610,63,Consumer Loan,0.01,0.18,0.0,845.25
PRD09,2023-05,1692,42,Term Deposit,0.0,0.06,0.0,211.5
PRD10,2023-05,1552,46,Investment Account,0.012,0.0,0.0,279.36
PRD11,2023-05,1663,51,Overdraft Facility,0.015,0.2,2.0,4393.09
PRD12,2023-05,1625,52,Bancassurance,0.1,0.0,0.0,2437.5
PRD01,2023-06,10762,356,Checking Account,0.0,0.001,3.0,32308.42
PRD02,2023-06,4126,132,Savings Account,0.0,0.015,0.0,128.94
PRD03,2023-06,3032,81,Credit Card,0.02,0.24,0.0,2425.6
PRD04,2023-06,3113,94,Debit Card,0.005,0.0,0.0,233.48
PRD05,2023-06,1707,48,Personal Loan,0.01,0.16,0.0,825.05
PRD06,2023-06,1678,62,Auto Loan,0.008,0.11,0.0,585.9
PRD07,2023-06,1699,68,Mortgage,0.005,0.085,0.0,428.29
PRD08,2023-06,1671,61,Consumer Loan,0.01,0.18,0.0,877.28
PRD09,2023-06,1741,49,Term Deposit,0.0,0.06,0.0,217.62
PRD10,2023-06,1607,55,Investment Account,0.012,0.0,0.0,289.26
PRD11,2023-06,1717,54,Overdraft Facility,0.015,0.2,2.0,4535.74
PRD12,2023-06,1673,48,Bancassurance,0.1,0.0,0.0,2509.5
PRD01,2023-07,11141,379,Checking Account,0.0,0.001,3.0,33446.21
PRD02,2023-07,4246,120,Savings Account,0.0,0.015,0.0,132.69
PRD03,2023-07,3138,106,Credit Card,0.02,0.24,0.0,2510.4
PRD04,2023-07,3214,101,Debit Card,0.005,0.0,0.0,241.05
PRD05,2023-07,1766,59,Personal Loan,0.01,0.16,0.0,853.57
PRD06,2023-07,1736,58,Auto Loan,0.008,0.11,0.0,606.15
PRD07,2023-07,1752,53,Mortgage,0.005,0.085,0.0,441.65
PRD08,2023-07,1735,64,Consumer Loan,0.01,0.18,0.0,910.88
PRD09,2023-07,1803,62,Term Deposit,0.0,0.06,0.0,225.38
PRD10,2023-07,1659,52,Investment Account,0.012,0.0,0.0,298.62
PRD11,2023-07,1768,51,Overdraft Facility,0.015,0.2,2.0,4670.47
PRD12,2023-07,1745,72,Bancassurance,0.1,0.0,0.0,2617.5
PRD01,2023-08,11499,358,Checking Account,0.0,0.001,3.0,34520.96
PRD02,2023-08,4389,143,Savings Account,0.0,0.015,0.0,137.16
PRD03,2023-08,3232,94,Credit Card,0.02,0.24,0.0,2585.6
PRD04,2023-08,3310,96,Debit Card,0.005,0.0,0.0,248.25
PRD05,2023-08,1816,50,Personal Loan,0.01,0.16,0.0,877.73
PRD06,2023-08,1795,59,Auto Loan,0.008,0.11,0.0,626.75
PRD07,2023-08,1802,50,Mortgage,0.005,0.085,0.0,454.25
PRD08,2023-08,1780,45,Consumer Loan,0.01,0.18,0.0,934.5
PRD09,2023-08,1869,66,Term Deposit,0.0,0.06,0.0,233.62
PRD10,2023-08,1719,60,Investment Account,0.012,0.0,0.0,309.42
PRD11,2023-08,1822,54,Overdraft Facility,0.015,0.2,2.0,4813.12
PRD12,2023-08,1813,68,Bancassurance,0.1,0.0,0.0,2719.5
PRD01,2023-09,11857,358,Checking Account,0.0,0.001,3.0,35595.7
PRD02,2023-09,4521,132,Savings Account,0.0,0.015,0.0,141.28
PRD03,2023-09,3347,115,Credit Card,0.02,0.24,0.0,2677.6
PRD04,2023-09,3422,112,Debit Card,0.005,0.0,0.0,256.65
PRD05,2023-09,1873,57,Personal Loan,0.01,0.16,0.0,905.28
PRD06,2023-09,1845,50,Auto Loan,0.008,0.11,0.0,644.21
PRD07,2023-09,1859,57,Mortgage,0.005,0.085,0.0,468.62
PRD08,2023-09,1830,50,Consumer Loan,0.01,0.18,0.0,960.75
PRD09,2023-09,1923,54,Term Deposit,0.0,0.06,0.0,240.38
PRD10,2023-09,1776,57,Investment Account,0.012,0.0,0.0,319.68
PRD11,2023-09,1875,53,Overdraft Facility,0.015,0.2,2.0,4953.12
PRD12,2023-09,1868,55,Bancassurance,0.1,0.0,0.0,2802.0
PRD01,2023-10,12249,392,Checking Account,0.0,0.001,3.0,36772.52
PRD02,2023-10,4637,116,Savings Account,0.0,0.015,0.0,144.91
PRD03,2023-10,3466,119,Credit Card,0.02,0.24,0.0,2772.8
PRD04,2023-10,3533,111,Debit Card,0.005,0.0,0.0,264.97
PRD05,2023-10,1938,65,Personal Loan,0.01,0.16,0.0,936.7
PRD06,2023-10,1905,60,Auto Loan,0.008,0.11,0.0,665.16
PRD07,2023-10,1918,59,Mortgage,0.005,0.085,0.0,483.5
PRD08,2023-10,1886,56,Consumer Loan,0.01,0.18,0.0,990.15
